figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,zero_delay,Zero delay,0,delay_survival_probability,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,0,delay_survival_probability,30,0.9388400000000001,0.0006798512345722587,0.9374996666666666,0.940100166666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,1,delay_survival_probability,30,0.8819599999999999,0.0008782636998286917,0.8803863333333333,0.8836934999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,2,delay_survival_probability,30,0.8277866666666667,0.000945354441020451,0.8259796666666666,0.8296133333333332,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,3,delay_survival_probability,30,0.7764333333333333,0.0009648099489266766,0.7745731666666665,0.7782866666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,4,delay_survival_probability,30,0.7286400000000001,0.0011193758523617412,0.7264531666666666,0.7307536666666669,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,5,delay_survival_probability,30,0.6827333333333334,0.0012516227015251758,0.6802598333333334,0.6851268333333332,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,6,delay_survival_probability,30,0.6409333333333334,0.0012325222558279049,0.6386596666666665,0.6433070000000002,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,7,delay_survival_probability,30,0.6006133333333334,0.001183563034205908,0.5982456666666667,0.6029135,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,8,delay_survival_probability,30,0.5635333333333334,0.0011441538893896051,0.5612131666666665,0.5656405,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,9,delay_survival_probability,30,0.52848,0.0011122969916803475,0.5262333333333333,0.5306068333333332,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,10,delay_survival_probability,30,0.49485333333333337,0.0011279085857363524,0.4926933333333333,0.49687366666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,11,delay_survival_probability,30,0.46352,0.0011675143061960372,0.46123283333333326,0.46574683333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,12,delay_survival_probability,30,0.43468,0.0012944656732839016,0.43211949999999993,0.437127,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,13,delay_survival_probability,30,0.4072533333333333,0.0011999208147564673,0.4048333333333334,0.40972033333333335,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,14,delay_survival_probability,30,0.38244666666666666,0.001128224455264084,0.3802333333333333,0.3846333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,15,delay_survival_probability,30,0.35831999999999997,0.001132370111299975,0.3562195,0.36053366666666675,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,16,delay_survival_probability,30,0.33623333333333333,0.001183141477080942,0.3339,0.33849999999999997,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,17,delay_survival_probability,30,0.3148333333333333,0.0011140103936176358,0.31267333333333336,0.31691333333333327,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,18,delay_survival_probability,30,0.29552666666666666,0.0011657362463990664,0.2933198333333333,0.29784016666666674,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,19,delay_survival_probability,30,0.2766,0.001106470000528241,0.2745663333333333,0.2786933333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,20,delay_survival_probability,30,0.25924,0.0011058215856594345,0.2570866666666667,0.26126033333333337,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,21,delay_survival_probability,30,0.2426666666666667,0.0010394664118940733,0.24074666666666672,0.24469333333333332,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,22,delay_survival_probability,30,0.2273533333333333,0.0010334490109519426,0.2252998333333333,0.22939366666666663,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,23,delay_survival_probability,30,0.21266000000000002,0.0010113448426746425,0.2108598333333333,0.21463383333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,24,delay_survival_probability,30,0.19900666666666667,0.000899066352675602,0.1973198333333333,0.200887,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,25,delay_survival_probability,30,0.18663999999999997,0.0008494162972165132,0.18505316666666663,0.18828666666666666,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,26,delay_survival_probability,30,0.1749,0.0008082192714880033,0.17339333333333337,0.17645349999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,27,delay_survival_probability,30,0.16357999999999998,0.0007758036248741142,0.16209983333333336,0.16509333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,28,delay_survival_probability,30,0.15343999999999997,0.0007782916747816871,0.15190649999999997,0.15496016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,29,delay_survival_probability,30,0.14404,0.0007486017617539716,0.14241333333333336,0.14550016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,30,delay_survival_probability,30,0.13532000000000002,0.0007254709132535998,0.13390000000000002,0.13666683333333335,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,31,delay_survival_probability,30,0.12683999999999998,0.0007838249863301133,0.1252665,0.12820033333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,32,delay_survival_probability,30,0.1189533333333333,0.0007021597770382617,0.11753316666666665,0.12024016666666665,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,33,delay_survival_probability,30,0.11142666666666666,0.0006576680036805303,0.11012666666666666,0.11263366666666667,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,34,delay_survival_probability,30,0.10435333333333334,0.0006448154566851485,0.10309316666666668,0.10555333333333333,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,35,delay_survival_probability,30,0.09794,0.0006541222072892537,0.09667300000000001,0.09914683333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,36,delay_survival_probability,30,0.09159333333333332,0.0006525975213745566,0.09029316666666666,0.09278016666666669,2000,0.95,full,False
