figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,zero_delay,Zero delay,0,delay_survival_probability,30,0.0,0.0,0.0,0.0,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,0,delay_survival_probability,30,0.93884,0.0006798512345722,0.9374996666666666,0.940100166666667,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,1,delay_survival_probability,30,0.8819599999999999,0.0008782636998286,0.8803863333333333,0.8836934999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,2,delay_survival_probability,30,0.8277866666666667,0.0009453544410204,0.8259796666666666,0.8296133333333332,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,3,delay_survival_probability,30,0.7764333333333333,0.0009648099489266,0.7745731666666665,0.7782866666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,4,delay_survival_probability,30,0.7286400000000001,0.0011193758523617,0.7264531666666666,0.7307536666666669,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,5,delay_survival_probability,30,0.6827333333333334,0.0012516227015251,0.6802598333333334,0.6851268333333332,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,6,delay_survival_probability,30,0.6409333333333334,0.0012325222558279,0.6386596666666665,0.6433070000000002,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,7,delay_survival_probability,30,0.6006133333333334,0.0011835630342059,0.5982456666666667,0.6029135,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,8,delay_survival_probability,30,0.5635333333333334,0.0011441538893896,0.5612131666666665,0.5656405,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,9,delay_survival_probability,30,0.52848,0.0011122969916803,0.5262333333333333,0.5306068333333332,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,10,delay_survival_probability,30,0.4948533333333333,0.0011279085857363,0.4926933333333333,0.4968736666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,11,delay_survival_probability,30,0.46352,0.001167514306196,0.4612328333333332,0.4657468333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,12,delay_survival_probability,30,0.43468,0.0012944656732839,0.4321194999999999,0.437127,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,13,delay_survival_probability,30,0.4072533333333333,0.0011999208147564,0.4048333333333334,0.4097203333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,14,delay_survival_probability,30,0.3824466666666666,0.001128224455264,0.3802333333333333,0.3846333333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,15,delay_survival_probability,30,0.3583199999999999,0.0011323701112999,0.3562195,0.3605336666666667,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,16,delay_survival_probability,30,0.3362333333333333,0.0011831414770809,0.3339,0.3384999999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,17,delay_survival_probability,30,0.3148333333333333,0.0011140103936176,0.3126733333333333,0.3169133333333332,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,18,delay_survival_probability,30,0.2955266666666666,0.001165736246399,0.2933198333333333,0.2978401666666667,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,19,delay_survival_probability,30,0.2766,0.0011064700005282,0.2745663333333333,0.2786933333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,20,delay_survival_probability,30,0.25924,0.0011058215856594,0.2570866666666667,0.2612603333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,21,delay_survival_probability,30,0.2426666666666667,0.001039466411894,0.2407466666666667,0.2446933333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,22,delay_survival_probability,30,0.2273533333333333,0.0010334490109519,0.2252998333333333,0.2293936666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,23,delay_survival_probability,30,0.21266,0.0010113448426746,0.2108598333333333,0.2146338333333333,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,24,delay_survival_probability,30,0.1990066666666666,0.0008990663526756,0.1973198333333333,0.200887,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,25,delay_survival_probability,30,0.1866399999999999,0.0008494162972165,0.1850531666666666,0.1882866666666666,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,26,delay_survival_probability,30,0.1749,0.000808219271488,0.1733933333333333,0.1764534999999999,2000,0.95,paper,True
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,27,delay_survival_probability,30,0.1635799999999999,0.0007758036248741,0.1620998333333333,0.1650933333333333,2000,0.95,paper,True
