seed,ratio,eligible_rounds,mean_delta_over_mu,max_delta_over_mu_deviation,mean_chi,mean_rho,expected_chi
0,0.0,5000,0.0,0.0,0.0,0.0,0.0
0,0.25,5000,0.25,1.0419443086107094e-13,0.0,0.0,0.0
0,0.5,5000,0.5,1.2817524819297432e-13,0.0,0.0,0.0
0,0.75,5000,0.75,8.426592756904938e-14,0.0,0.0,0.0
0,0.9,5000,0.9,1.2823075934420558e-13,0.0,0.0,0.0
0,0.99,5000,0.99,1.0147438445073931e-13,0.0,0.0,0.0
0,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
0,1.01,5000,1.01,1.0147438445073931e-13,1.0,0.022222222222222223,1.0
0,1.1,5000,1.1,1.2811973704174306e-13,1.0,0.022222222222222223,1.0
0,1.25,5000,1.25,8.415490526658687e-14,1.0,0.022222222222222223,1.0
0,1.5,5000,1.5,1.2811973704174306e-13,1.0,0.022222222222222223,1.0
0,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
1,0.0,5000,0.0,0.0,0.0,0.0,0.0
1,0.25,5000,0.250000000000002,9.541312184779827e-12,0.0,0.0,0.0
1,0.5,5000,0.49999999999999617,1.9082624369559653e-11,0.0,0.0,0.0
1,0.75,5000,0.7499999999999981,9.541367695931058e-12,0.0,0.0,0.0
1,0.9,5000,0.9000000000000024,1.1449508008354314e-11,0.0,0.0,0.0
1,0.99,5000,0.9899999999999988,6.488032333606952e-12,0.0,0.0,0.0
1,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
1,1.01,5000,1.0100000000000011,6.488143355909415e-12,1.0,0.022222222222222223,1.0
1,1.1,5000,1.0999999999999976,1.144973005295924e-11,1.0,0.022222222222222223,1.0
1,1.25,5000,1.250000000000002,9.541256673628595e-12,1.0,0.022222222222222223,1.0
1,1.5,5000,1.5000000000000038,1.9082735391862116e-11,1.0,0.022222222222222223,1.0
1,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
