figure_id,panel_id,experiment_id,setting_id,raw_setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,run_mode,paper_result,config_hash,notes,empirical_mean_delay
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.030972839506172745,0.030972839506172745,0.030972839506172745,0.95,shared_seed,1,1000,fast,False,1acd690a1ef53233,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.253807407407414,0.253807407407414,0.253807407407414,0.95,shared_seed,1,1000,fast,False,0eb52d50f3ddc326,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.03217777777777767,0.03217777777777767,0.03217777777777767,0.95,shared_seed,1,1000,fast,False,57441432fc81b23e,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,soft_attribution_em,Soft attribution,partial_attribution,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.030518518518518386,0.030518518518518386,0.030518518518518386,0.95,shared_seed,1,1000,fast,False,6e295705975a6ab5,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,proxy_state,Proxy state,proxy_state,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.033027160493827076,0.033027160493827076,0.033027160493827076,0.95,shared_seed,1,1000,fast,False,78dd6f4148d26fab,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,zero_static,zero_static,oracle_reference,Oracle reference†,oracle_reference,oracle_reference,False,False,causal_regret_per_round,causal_regret_final_divided_by_t,zero_static,0,"No delay
(static state)",0.0,0.0,0.0,0.95,shared_seed,1,1000,fast,False,9eb7b36a1e43e293,blocked_validation_error: missing formal setting ids,0.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,aligned_static_delay_15,aligned_static_delay_15,arrival_time_naive,Arrival time,arrival_time,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,aligned_static_delay_15,1,"Fixed delay = 15
(static state)",0.1333135802469121,0.1333135802469121,0.1333135802469121,0.95,shared_seed,1,1000,fast,False,cc2caca16339a3ed,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,aligned_static_delay_15,aligned_static_delay_15,delayed_exp3,Delayed EXP3,unlabelled_delayed,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,aligned_static_delay_15,1,"Fixed delay = 15
(static state)",0.3922962962963157,0.3922962962963157,0.3922962962963157,0.95,shared_seed,1,1000,fast,False,2de328eb96b8e258,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,aligned_static_delay_15,aligned_static_delay_15,source_labelled,Source labelled,source_labelled,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,aligned_static_delay_15,1,"Fixed delay = 15
(static state)",0.03059753086419748,0.03059753086419748,0.03059753086419748,0.95,shared_seed,1,1000,fast,False,a723f1d390a42aed,blocked_validation_error: missing formal setting ids,15.0
fig_app_exp1_selected_trajectories,panel_a,exp1_controlled_validity,aligned_static_delay_15,aligned_static_delay_15,soft_attribution_em,Soft attribution,partial_attribution,none,False,True,causal_regret_per_round,causal_regret_final_divided_by_t,aligned_static_delay_15,1,"Fixed delay = 15
(static state)",0.03446913580246904,0.03446913580246904,0.03446913580246904,0.95,shared_seed,1,1000,fast,False,056ab16eaf8a4051,blocked_validation_error: missing formal setting ids,15.0
