figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,soft_attribution_em,Soft attribution EM,partial_attribution,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.9999999999027439,0.9999999999025802,0.9999999999029305,0.95,shared_simulation_seed,3,2000,15000,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,soft_attribution_em_stationary_ablation,Stationary geometric EM ablation,partial_attribution,diagnostic_control,True,False,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.06375727276134831,0.06357339663028437,0.06392650124015375,0.95,shared_simulation_seed,3,2000,15000,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,proxy_state,Filtered state proxy,proxy_state,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.9999999999026506,0.9999999999025405,0.999999999902737,0.95,shared_simulation_seed,3,2000,15000,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,soft_attribution_em,Soft attribution EM,partial_attribution,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.9999999999027253,0.999999999902539,0.9999999999029487,0.95,shared_simulation_seed,3,2000,15000,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,soft_attribution_em_stationary_ablation,Stationary geometric EM ablation,partial_attribution,diagnostic_control,True,False,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.06337881807598006,0.0633497687686005,0.0634203622671723,0.95,shared_simulation_seed,3,2000,15000,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,zero_static,proxy_state,Filtered state proxy,proxy_state,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,0.0,Zero,0.9999999999028756,0.9999999999028143,0.9999999999029564,0.95,shared_simulation_seed,3,2000,15000,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,soft_attribution_em,Soft attribution EM,partial_attribution,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.9999999999026444,0.9999999999025629,0.9999999999027415,0.95,shared_simulation_seed,3,2000,14955,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,soft_attribution_em_stationary_ablation,Stationary geometric EM ablation,partial_attribution,diagnostic_control,True,False,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.023997483586944035,0.023975824762619655,0.02403103767078273,0.95,shared_simulation_seed,3,2000,14955,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,proxy_state,Filtered state proxy,proxy_state,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.9999999999023679,0.9999999999022336,0.9999999999024475,0.95,shared_simulation_seed,3,2000,14955,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,soft_attribution_em,Soft attribution EM,partial_attribution,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.9999999999022795,0.9999999999020525,0.9999999999024455,0.95,shared_simulation_seed,3,2000,14955,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,soft_attribution_em_stationary_ablation,Stationary geometric EM ablation,partial_attribution,diagnostic_control,True,False,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.02384465032944355,0.023828793610171244,0.023862463559515334,0.95,shared_simulation_seed,3,2000,14955,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,unlabelled_soft_attribution_true_mass,exp1_controlled_validity,source_binding_validity,aligned_static_delay_15,proxy_state,Filtered state proxy,proxy_state,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,1.0,Aligned static 15,0.9999999999024789,0.9999999999023702,0.9999999999026691,0.95,shared_simulation_seed,3,2000,14955,0,unlabelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,soft_attribution_em,Soft attribution EM,partial_attribution,none,False,True,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,2.0,Geometric,0.03918743061507954,0.03676634924551627,0.04069586083759654,0.95,shared_simulation_seed,3,2000,14937,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
fig_exp1_attribution_diagnostics,mixture_labelled_soft_attribution_true_mass,exp1_controlled_validity,matched_mean_delay,geometric_matched_15,soft_attribution_em_stationary_ablation,Stationary geometric EM ablation,partial_attribution,diagnostic_control,True,False,soft_attribution_true_mass,soft_attribution_true_mass,delay_setting,2.0,Geometric,0.03863624035652579,0.03748056823992259,0.03956629495085876,0.95,shared_simulation_seed,3,2000,14937,0,mixture_labelled_posterior_diagnostics,Posterior attribution diagnostics; methods remain within the same information regime.,fast,False,
