seed,delay_setting,delay_path_id,policy_dependent_delay,observed_mean_delay,observed_count,calibration_target,calibration_metric,delay_cfg
0,zero_static,shared_0_zero_static,False,0.0,5000,0.0,realised uncensored finite-horizon mean delay,"{""name"": ""zero""}"
0,aligned_static_delay_15,shared_0_aligned_static_delay_15,False,15.0,4985,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""fixed"", ""delay_value"": 15}"
0,geometric_mid,shared_0_geometric_mid,False,15.0,4974,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""geometric"", ""p"": 0.0603643631462624}"
0,mixture_mid,shared_0_mixture_mid,False,15.005931683370832,4889,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""mixture"", ""w"": 0.4479803860281114, ""p_fast"": 0.3333333333333333, ""p_slow"": 0.03225806451612903}"
0,structural_mid,shared_0_structural_mid,False,15.000216778668978,4613,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""state_structural"", ""beta"": 1.0, ""c"": -2.3884289466714277}"
0,proxy_good_matched_15,shared_0_proxy_good_matched_15,False,15.000216778668978,4613,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""state_structural"", ""beta"": 1.0, ""c"": -2.3884289466714277}"
0,proxy_bad_matched_15,shared_0_proxy_bad_matched_15,False,15.000216778668978,4613,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""state_structural"", ""beta"": 1.0, ""c"": -2.3884289466714277}"
0,action_structural_stress,policy_dependent_0_action_structural_stress,True,15.0,4519,15.0,reference-policy observed uncensored mean delay,"{""name"": ""action_structural"", ""beta"": 1.0, ""c"": -2.037462282853963, ""alpha"": [-2.199804243923283, 0.26812835064493573, -0.1467392630005547, 0.7956641119514078, 0.17438348108570909, -0.16053854910344562, -1.048154434162039, -0.27805145077945315, -0.6512887078956956, -0.3112221535674746], ""u_len_seed"": 200000}"
0,matched_geometric_target_15,shared_0_matched_geometric_target_15,False,15.0,4974,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""geometric"", ""p"": 0.0603643631462624}"
0,matched_mixture_target_15,shared_0_matched_mixture_target_15,False,15.005931683370832,4889,15.0,realised uncensored finite-horizon mean delay,"{""name"": ""mixture"", ""w"": 0.4479803860281114, ""p_fast"": 0.3333333333333333, ""p_slow"": 0.03225806451612903}"
