regime,delay_setting,method,n,mean_delay,se_delay,mean_regret_per_round,se_regret_per_round,policy_dependent_delay
labelled,geometric_matched_15,oracle,30,15.000087036286763,1.8482229717766033e-05,0.0,0.0,False
labelled,geometric_matched_15,naive,30,15.000087036286763,1.8482229717766033e-05,1.1386709041445864,0.031659080303957685,False
labelled,geometric_matched_15,delayed_ucb,30,15.000087036286763,1.8482229717766033e-05,1.1580085776471907,0.030906923817884974,False
labelled,geometric_matched_15,delayed_exp3,30,15.000087036286763,1.8482229717766033e-05,1.538615410977084,0.023636788431298572,False
labelled,geometric_matched_15,causal_labeled,30,15.000087036286763,1.8482229717766033e-05,0.3142587883916097,0.005983737125777439,False
mixture_labelled,geometric_matched_15,oracle,30,15.000087036286763,1.8482229717766033e-05,0.0,0.0,False
mixture_labelled,geometric_matched_15,naive,30,15.000087036286763,1.8482229717766033e-05,1.0983995664628785,0.04750960339078958,False
mixture_labelled,geometric_matched_15,delayed_ucb,30,15.000087036286763,1.8482229717766033e-05,1.1621013242905889,0.021811452350860613,False
mixture_labelled,geometric_matched_15,delayed_exp3,30,15.000087036286763,1.8482229717766033e-05,1.537176983460093,0.024392416713087995,False
mixture_labelled,geometric_matched_15,causal_em,30,15.000087036286763,1.8482229717766033e-05,0.4901638461004581,0.016177201266116024,False
mixture_labelled,geometric_matched_15,causal_em_misspecified,30,15.000087036286763,1.8482229717766033e-05,0.5049598123043411,0.014564159838398295,False
mixture_labelled,geometric_matched_15,proxy,30,15.000087036286763,1.8482229717766033e-05,0.5242496903017974,0.013171057446957905,False
unlabelled,geometric_matched_15,oracle,30,15.000087036286763,1.8482229717766033e-05,0.0,0.0,False
unlabelled,geometric_matched_15,naive,30,15.000087036286763,1.8482229717766033e-05,1.1208167182468822,0.04225079948704623,False
unlabelled,geometric_matched_15,delayed_ucb,30,15.000087036286763,1.8482229717766033e-05,1.1292970003691774,0.02349845363148749,False
unlabelled,geometric_matched_15,delayed_exp3,30,15.000087036286763,1.8482229717766033e-05,1.5364340514793384,0.023429733818153036,False
unlabelled,geometric_matched_15,causal_em,30,15.000087036286763,1.8482229717766033e-05,1.1448695170701935,0.05302603694087394,False
unlabelled,geometric_matched_15,causal_em_misspecified,30,15.000087036286763,1.8482229717766033e-05,1.0915411907341437,0.0443783248404734,False
unlabelled,geometric_matched_15,proxy,30,15.000087036286763,1.8482229717766033e-05,1.1481252380032692,0.056304648306870826,False
labelled,mixture_matched_15,oracle,30,15.004346825333016,0.0005529825792394462,0.0,0.0,False
labelled,mixture_matched_15,naive,30,15.004346825333016,0.0005529825792394462,0.8251432025702246,0.021150500448376332,False
labelled,mixture_matched_15,delayed_ucb,30,15.004346825333016,0.0005529825792394462,0.9184561748577297,0.022466185683291152,False
labelled,mixture_matched_15,delayed_exp3,30,15.004346825333016,0.0005529825792394462,1.5220115786539077,0.022766816455124735,False
labelled,mixture_matched_15,causal_labeled,30,15.004346825333016,0.0005529825792394462,0.31442093103050855,0.005310883292109601,False
mixture_labelled,mixture_matched_15,oracle,30,15.004346825333016,0.0005529825792394462,0.0,0.0,False
mixture_labelled,mixture_matched_15,naive,30,15.004346825333016,0.0005529825792394462,0.8452674713974571,0.030267542254344915,False
mixture_labelled,mixture_matched_15,delayed_ucb,30,15.004346825333016,0.0005529825792394462,0.8955114914911487,0.017187518740732512,False
mixture_labelled,mixture_matched_15,delayed_exp3,30,15.004346825333016,0.0005529825792394462,1.5173160293368946,0.022405495785085657,False
mixture_labelled,mixture_matched_15,causal_em,30,15.004346825333016,0.0005529825792394462,0.4748337264657888,0.013896868295805189,False
mixture_labelled,mixture_matched_15,causal_em_misspecified,30,15.004346825333016,0.0005529825792394462,0.47784808847829596,0.013713061660072587,False
mixture_labelled,mixture_matched_15,proxy,30,15.004346825333016,0.0005529825792394462,0.5023408116432344,0.015685756740819297,False
unlabelled,mixture_matched_15,oracle,30,15.004346825333016,0.0005529825792394462,0.0,0.0,False
unlabelled,mixture_matched_15,naive,30,15.004346825333016,0.0005529825792394462,0.8335153038027935,0.026286427029072214,False
unlabelled,mixture_matched_15,delayed_ucb,30,15.004346825333016,0.0005529825792394462,0.8965355094712535,0.018995245496618744,False
unlabelled,mixture_matched_15,delayed_exp3,30,15.004346825333016,0.0005529825792394462,1.5269711466302047,0.02411762816821384,False
unlabelled,mixture_matched_15,causal_em,30,15.004346825333016,0.0005529825792394462,1.0730043168325347,0.04813847464644387,False
unlabelled,mixture_matched_15,causal_em_misspecified,30,15.004346825333016,0.0005529825792394462,1.0825704294264862,0.04620029982307045,False
unlabelled,mixture_matched_15,proxy,30,15.004346825333016,0.0005529825792394462,1.076244022634664,0.054231576463694496,False
labelled,state_structural_matched_15,oracle,30,15.00011307013695,1.9642377937949392e-05,0.0,0.0,False
labelled,state_structural_matched_15,naive,30,15.00011307013695,1.9642377937949392e-05,0.974262933655057,0.026745115143269473,False
labelled,state_structural_matched_15,delayed_ucb,30,15.00011307013695,1.9642377937949392e-05,1.04044063205064,0.025212087956365217,False
labelled,state_structural_matched_15,delayed_exp3,30,15.00011307013695,1.9642377937949392e-05,1.5255698585820487,0.024245414602592247,False
labelled,state_structural_matched_15,causal_labeled,30,15.00011307013695,1.9642377937949392e-05,0.34902483488809005,0.00731201101468548,False
mixture_labelled,state_structural_matched_15,oracle,30,15.00011307013695,1.9642377937949392e-05,0.0,0.0,False
mixture_labelled,state_structural_matched_15,naive,30,15.00011307013695,1.9642377937949392e-05,0.948025777187136,0.03166835717903676,False
mixture_labelled,state_structural_matched_15,delayed_ucb,30,15.00011307013695,1.9642377937949392e-05,1.0091480552800107,0.022026083636588135,False
mixture_labelled,state_structural_matched_15,delayed_exp3,30,15.00011307013695,1.9642377937949392e-05,1.5276553963912538,0.023370890291244336,False
mixture_labelled,state_structural_matched_15,causal_em,30,15.00011307013695,1.9642377937949392e-05,0.5303224387192772,0.015436962766101882,False
mixture_labelled,state_structural_matched_15,causal_em_misspecified,30,15.00011307013695,1.9642377937949392e-05,0.5071828741748494,0.015009136254867416,False
mixture_labelled,state_structural_matched_15,proxy,30,15.00011307013695,1.9642377937949392e-05,0.5385905989769673,0.013954148065958263,False
unlabelled,state_structural_matched_15,oracle,30,15.00011307013695,1.9642377937949392e-05,0.0,0.0,False
unlabelled,state_structural_matched_15,naive,30,15.00011307013695,1.9642377937949392e-05,0.9683089122770755,0.031522286870040335,False
unlabelled,state_structural_matched_15,delayed_ucb,30,15.00011307013695,1.9642377937949392e-05,0.991908791775575,0.02191379914184395,False
unlabelled,state_structural_matched_15,delayed_exp3,30,15.00011307013695,1.9642377937949392e-05,1.5257280266361655,0.023922818921796738,False
unlabelled,state_structural_matched_15,causal_em,30,15.00011307013695,1.9642377937949392e-05,0.9554788334764548,0.03489917898759659,False
unlabelled,state_structural_matched_15,causal_em_misspecified,30,15.00011307013695,1.9642377937949392e-05,1.0038047709651228,0.04425052302290795,False
unlabelled,state_structural_matched_15,proxy,30,15.00011307013695,1.9642377937949392e-05,0.9417680431960346,0.031583965572237846,False
