figure_id,panel_id,experiment_id,subexperiment_id,setting_id,cohort_id,metric_id,metric_formula_id,primary_metric,primary_horizon,primary_outcome_id,ci_level,uncertainty_unit,n_bootstrap,run_mode,paper_result,estimand_boundary,notes,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,n_events,n_users,filter_id,filter_description,comparison_method_id,comparison_method_display_name,top_k,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,first_click,First click or touch,0.0,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,first_click,First click or touch,10,first_click,First click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,last_click,Last click or touch,0.2772499449217889,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,last_click,Last click or touch,10,first_click,First click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,linear_attribution,Linear attribution,0.1656009801191918,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,linear_attribution,Linear attribution,10,first_click,First click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,time_decay_soft,Time-decay attribution,0.238611030036705,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,time_decay_soft,Time-decay attribution,10,first_click,First click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,first_click,First click or touch,0.2772499449217889,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,first_click,First click or touch,10,last_click,Last click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,last_click,Last click or touch,0.0,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,last_click,Last click or touch,10,last_click,Last click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,linear_attribution,Linear attribution,0.1656009801191918,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,linear_attribution,Linear attribution,10,last_click,Last click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,time_decay_soft,Time-decay attribution,0.0703990834042417,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,time_decay_soft,Time-decay attribution,10,last_click,Last click or touch,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,first_click,First click or touch,0.1656009801191918,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,first_click,First click or touch,10,linear_attribution,Linear attribution,source_candidate,none,False,True
fig_app_exp2_source_route_pairwise_overlap,panel_a,exp2_logged_attribution_sensitivity,appendix_diagnostic,source_time_day_cells_top_k_10_window_30d,all_conversion_candidates,pairwise_credit_allocation_tv_distance,pairwise_credit_allocation_tv_distance,False,not_applicable,binary_credited_conversion_mass,0.95,uid,200,fast,False,"observational logged credit-allocation and source-time decision-cell ranking sensitivity; not policy value, causal effect, ROI, or deployment evaluation",Logged source-time credit-allocation and ranking sensitivity.,route_right,last_click,Last click or touch,0.1656009801191918,,,145248,,top_k_pairwise_overlap,Point-estimate source-route differences; not a route performance ranking.,last_click,Last click or touch,10,linear_attribution,Linear attribution,source_candidate,none,False,True
