route,method_display_name,reference_route,reference_label,top_k,cost_lambda,n_eligible_conversion_events,top_k_credited_mass_per_1000_events,top_k_cost_adjusted_score_per_1000_events,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor,top_k_cost_adjusted_score_difference_per_1000_events_vs_arrival_anchor,credit_allocation_tv_distance_vs_arrival_anchor,top_k_decision_cell_overlap_vs_arrival_anchor,spearman_rank_correlation_vs_arrival_anchor,top_action_id,top_action_score,top_k_credited_mass_per_1000_events_ci_lower,top_k_credited_mass_per_1000_events_ci_upper,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_lower,top_k_credited_mass_difference_per_1000_events_vs_arrival_anchor_ci_upper,credit_allocation_tv_distance_vs_arrival_anchor_ci_lower,credit_allocation_tv_distance_vs_arrival_anchor_ci_upper,top_k_decision_cell_overlap_vs_arrival_anchor_ci_lower,top_k_decision_cell_overlap_vs_arrival_anchor_ci_upper,spearman_rank_correlation_vs_arrival_anchor_ci_lower,spearman_rank_correlation_vs_arrival_anchor_ci_upper,ci_level,candidate_window_days,window_common_cohort_events,common_cohort_coverage
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,315.6242545529274,356.7335346409538,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,1.0,85142,1.0
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.99889596203989,56.99889596203989,-293.4274506119189,-293.4274506119189,0.9409926945573277,0.0,0.10716234256482172,1295,0.16259726321438153,54.96335670271988,61.942477066307724,-299.5520638725369,-257.3847053206263,0.9394033059815713,0.9424053478459176,0.0,0.0,0.0949066521050494,0.1117230072697993,0.95,1.0,85142,1.0
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.59403248841017,61.94847312385564,-299.4939068695987,-257.4087994297847,0.9391207298606385,0.9422370827024934,0.0,0.0,0.09491975229827646,0.11233480933840215,0.95,1.0,85142,1.0
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.963660707993704,56.963660707993704,-293.4626858659651,-293.4626858659651,0.9409280965915764,0.0,0.10708951671216327,1295,0.1624631070566139,54.68958836035338,61.90991477622007,-299.52298537106776,-257.3528897018215,0.9392909137569766,0.9422713776347228,0.0,0.0,0.0950463918100664,0.11198379820013099,0.95,1.0,85142,1.0
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.95392366724905,56.95392366724905,-293.4724229067097,-293.4724229067097,0.9409156902910494,0.0,0.10713600655451169,1295,0.16240724779809884,54.686872780173466,61.86025340658886,-299.5204170866655,-257.3614786356709,0.9392324903929932,0.9422779359366182,0.0,0.0,0.09500183815925714,0.11223314661396973,0.95,1.0,85142,1.0
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.96952068097589,56.96952068097589,-293.4568258929829,-293.4568258929829,0.940890333913785,0.0,0.10715546681318637,1295,0.16254716981569378,54.689920206320735,61.9278383643746,-299.511587972032,-257.3414404211039,0.939202911791706,0.9422470101901101,0.0,0.0,0.09482914385637296,0.11191231742042132,0.95,1.0,85142,1.0
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,314.07854656940543,357.3994377093863,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,7.0,85142,0.676390444640403
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.86803222851237,57.86803222851237,-292.55831434544643,-292.55831434544643,0.9432007704775551,0.0,0.10070078195219408,1295,0.16125570163670513,52.49937736011008,61.98387268252963,-300.8863963048059,-254.70753080590725,0.941452313355211,0.9448694852531292,0.0,0.0,0.0913533765463959,0.10501414831115441,0.95,7.0,85142,0.676390444640403
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,54.509987278939015,61.684062710834745,-299.1515875546293,-256.1252190870699,0.9391425351249855,0.9426998941107607,0.0,0.0,0.09699112827852321,0.11234203135315582,0.95,7.0,85142,0.676390444640403
linear_attribution,Linear attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.844056595648055,56.844056595648055,-293.58228997831077,-293.58228997831077,0.9420742490696214,0.0,0.10511143646871014,1295,0.16185940434665955,52.497551649560464,61.5940569402772,-300.28082120370004,-256.2233493274557,0.9404350010478293,0.943771710419401,0.0,0.0,0.09549610575776572,0.11050982309011442,0.95,7.0,85142,0.676390444640403
time_decay_soft,Time-decay attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.915253169867704,56.915253169867704,-293.5110934040911,-293.5110934040911,0.9413849704450539,0.0,0.1061030391343308,1295,0.1629325298186011,54.50444051820778,61.64978641944226,-299.58566263647873,-256.088202328436,0.9398079694212232,0.9431168862429615,0.0,0.0,0.09661688916923207,0.11147718688364157,0.95,7.0,85142,0.676390444640403
soft_attribution_em,EM soft attribution,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.02953629602743,57.02953629602743,-293.39681027793137,-293.39681027793137,0.9411507149966589,0.0,0.10564823131741208,1295,0.1635556309998797,54.59636715934549,61.746054733880186,-299.48937805488083,-255.9780763232858,0.9395486762061853,0.9428965479095986,0.0,0.0,0.09627446527271162,0.11109008939435643,0.95,7.0,85142,0.676390444640403
arrival_bin_anchor,Arrival-bin anchor (diagnostic),arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,350.4263465739588,350.4263465739588,0.0,0.0,0.0,1.0,1.0,378,0.24775472282440383,315.5676168746033,358.2921469022867,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.95,14.0,85142,0.6132029269416917
first_click,First click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,57.64487561955322,57.64487561955322,-292.78147095440556,-292.78147095440556,0.9436588287801555,0.0,0.0963099929259639,495,0.16134831460674157,52.111667598430905,61.70461484557152,-300.7228701137438,-260.1199350544617,0.9420958227123589,0.9456334805189608,0.0,0.0,0.08489199161005073,0.10077135897615658,0.95,14.0,85142,0.6132029269416917
last_click,Last click or touch,arrival_bin_anchor,arrival_anchor,10,0.0,85142.0,56.928425453947526,56.928425453947526,-293.49792112001126,-293.49792112001126,0.9408634986258251,0.0,0.10708038053626544,1295,0.16232895089884625,55.29336750150217,61.55656682677414,-300.40414556670214,-258.21752227085307,0.9393306588362073,0.9427913678302032,0.0,0.0,0.09372005237925865,0.11221076848079525,0.95,14.0,85142,0.6132029269416917
