Top-k,Route left,Route right,Pairwise overlap
10,First click or touch,First click or touch,1.0
10,First click or touch,Last click or touch,0.6
10,First click or touch,Linear attribution,0.7
10,First click or touch,Time-decay attribution,0.6
10,Last click or touch,First click or touch,0.6
10,Last click or touch,Last click or touch,1.0
10,Last click or touch,Linear attribution,0.8
10,Last click or touch,Time-decay attribution,1.0
10,Linear attribution,First click or touch,0.7
10,Linear attribution,Last click or touch,0.8
10,Linear attribution,Linear attribution,1.0
10,Linear attribution,Time-decay attribution,0.8
10,Time-decay attribution,First click or touch,0.6
10,Time-decay attribution,Last click or touch,1.0
10,Time-decay attribution,Linear attribution,0.8
10,Time-decay attribution,Time-decay attribution,1.0
20,First click or touch,First click or touch,1.0
20,First click or touch,Last click or touch,0.8
20,First click or touch,Linear attribution,0.9
20,First click or touch,Time-decay attribution,0.8
20,Last click or touch,First click or touch,0.8
20,Last click or touch,Last click or touch,1.0
20,Last click or touch,Linear attribution,0.9
20,Last click or touch,Time-decay attribution,1.0
20,Linear attribution,First click or touch,0.9
20,Linear attribution,Last click or touch,0.9
20,Linear attribution,Linear attribution,1.0
20,Linear attribution,Time-decay attribution,0.9
20,Time-decay attribution,First click or touch,0.8
20,Time-decay attribution,Last click or touch,1.0
20,Time-decay attribution,Linear attribution,0.9
20,Time-decay attribution,Time-decay attribution,1.0
50,First click or touch,First click or touch,1.0
50,First click or touch,Last click or touch,0.86
50,First click or touch,Linear attribution,0.92
50,First click or touch,Time-decay attribution,0.88
50,Last click or touch,First click or touch,0.86
50,Last click or touch,Last click or touch,1.0
50,Last click or touch,Linear attribution,0.92
50,Last click or touch,Time-decay attribution,0.98
50,Linear attribution,First click or touch,0.92
50,Linear attribution,Last click or touch,0.92
50,Linear attribution,Linear attribution,1.0
50,Linear attribution,Time-decay attribution,0.94
50,Time-decay attribution,First click or touch,0.88
50,Time-decay attribution,Last click or touch,0.98
50,Time-decay attribution,Linear attribution,0.94
50,Time-decay attribution,Time-decay attribution,1.0
