timestamp,uid,campaign,conversion,conversion_timestamp,conversion_id,attribution,click,click_pos,click_nb,cost,cpo,time_since_last_click,cat1,cat2,cat3,cat4,cat5,cat6,cat7,cat8,cat9
0,20073966,22589171,0,-1,-1,0,0,-1,-1,1e-05,0.390793596019,-1,5824233,9312274,3490278,29196072,11409686,1973606,25162884,29196072,29196072
2,24607497,884761,0,-1,-1,0,0,-1,-1,1e-05,0.0596001963727,423858,30763035,9312274,14584482,29196072,11409686,1973606,22644417,9312274,21091111
2,28474333,18975823,0,-1,-1,0,0,-1,-1,0.000182758497011,0.149706229845,8879,138937,9312274,10769841,29196072,5824237,138937,1795451,29196072,15351056
3,7306395,29427842,1,1449193,3063962,0,1,0,7,9.41176449551e-05,0.154784521994,-1,28928366,26597095,12435261,23549932,5824237,1973606,9180723,29841067,29196072
3,25357769,13365547,0,-1,-1,0,0,-1,-1,3.19182346849e-05,0.0375830169766,-1,138937,26597094,31616034,29196072,11409684,26597096,4480345,29196072,29196072
4,93907,17686799,0,-1,-1,0,1,-1,-1,0.000186032889449,0.267099976043,262565,30763035,9068207,9107790,29196072,32440044,1973606,2687461,29841067,21091108
4,19923387,31772643,0,-1,-1,0,0,-1,-1,3.48173062117e-05,0.0870701851708,179666,30763035,9312274,5028397,29196072,32440044,32440041,14074087,29196072,21091108
4,28451570,20843295,0,-1,-1,0,0,-1,-1,3.47262752407e-05,0.336610769009,-1,138937,9312274,15403272,29196072,32440042,28928366,8556462,29196072,29196072
7,5588915,27491436,0,-1,-1,0,0,-1,-1,7.35294117647e-05,0.216361356811,-1,138937,9312274,4281154,29196072,28928366,29196072,21857352,29196072,29196072
7,23074162,16184517,0,-1,-1,0,0,-1,-1,1.32352946436e-05,0.00410712847936,-1,28928366,26597095,7711526,29196072,3225250,1973606,17737135,9312274,29196072
9,19947578,23330020,0,-1,-1,0,0,-1,-1,1.47058825721e-05,0.388931108679,-1,30763035,9312274,20745941,29196072,32440044,26597096,27018215,29196072,29196072
9,22258697,2869134,1,41,16096895,1,1,0,1,9.56595411256e-05,0.004,1659878,25259032,9312274,10664917,29196072,11409685,29196072,1001856,29196072,18291877
10,16203454,27321366,0,-1,-1,0,0,-1,-1,7.31132283084e-05,0.174918634642,1064624,30763035,9312274,10316544,29196072,5824241,29196072,7477605,29196072,8661620
10,28435820,21640043,0,-1,-1,0,1,-1,-1,0.000118286370698,0.118230065023,523726,30763035,9312274,31025336,29196072,11409686,1973606,20921639,3225256,8661623
12,28883743,24267774,0,-1,-1,0,1,-1,-1,1e-05,0.0519852866082,-1,138937,9312274,21728809,29196072,3808271,28928366,9312274,29196072,29196072
14,3201961,18443077,0,-1,-1,0,0,-1,-1,1e-05,0.280808549061,-1,1973606,9312274,14455973,29196072,5824237,1973606,21968302,29196072,29196072
14,6656565,13462155,0,-1,-1,0,1,-1,-1,7.51888149696e-05,0.26205165085,2004857,30763035,28928366,18314981,29196072,5824237,20754142,137117,29196072,18291872
14,31081666,3892353,0,-1,-1,0,0,-1,-1,0.000754424597519,0.373358374274,949520,30763035,26611398,29001875,29196072,32440044,1973606,9312274,20754144,8661620
15,19861109,15422821,0,-1,-1,0,0,-1,-1,0.00014440513709,0.124745861747,-1,30763035,9312274,28254485,29196072,5824238,29196072,2219202,29196072,29196072
