Candidate window days,Common-cohort conversions,Common-cohort coverage,Route,Allocation TV vs arrival anchor,Top-10 overlap vs arrival anchor,"Top-k credited-mass difference / 1,000"
1.0,85142,1.0,Arrival-bin anchor (diagnostic),0.0,1.0,0.0
1.0,85142,1.0,First click or touch,0.9409926945573276,0.0,-293.4274506119189
1.0,85142,1.0,Last click or touch,0.9408634986258252,0.0,-293.49792112001126
1.0,85142,1.0,Linear attribution,0.9409280965915764,0.0,-293.4626858659651
1.0,85142,1.0,Time-decay attribution,0.9409156902910494,0.0,-293.4724229067097
7.0,85142,0.676390444640403,Arrival-bin anchor (diagnostic),0.0,1.0,0.0
7.0,85142,0.676390444640403,First click or touch,0.9432007704775552,0.0,-292.55831434544643
7.0,85142,0.676390444640403,Last click or touch,0.9408634986258252,0.0,-293.49792112001126
7.0,85142,0.676390444640403,Linear attribution,0.9420742490696214,0.0,-293.5822899783108
7.0,85142,0.676390444640403,Time-decay attribution,0.941384970445054,0.0,-293.5110934040911
14.0,85142,0.6132029269416917,Arrival-bin anchor (diagnostic),0.0,1.0,0.0
14.0,85142,0.6132029269416917,First click or touch,0.9436588287801556,0.0,-292.7814709544056
14.0,85142,0.6132029269416917,Last click or touch,0.9408634986258252,0.0,-293.49792112001126
14.0,85142,0.6132029269416917,Linear attribution,0.9424336792653838,0.0,-293.7299564537004
14.0,85142,0.6132029269416917,Time-decay attribution,0.941401369574144,0.0,-293.51579490420653
30.0,85142,0.586183630755673,Arrival-bin anchor (diagnostic),0.0,1.0,0.0
30.0,85142,0.586183630755673,First click or touch,0.944351788776397,0.0,-292.21770688966666
30.0,85142,0.586183630755673,Last click or touch,0.9408634986258252,0.0,-293.49792112001126
30.0,85142,0.586183630755673,Linear attribution,0.9428958251319746,0.0,-292.6803933149215
30.0,85142,0.586183630755673,Time-decay attribution,0.941402213201994,0.0,-293.5158008542618
