Cost lambda,Route,"Cost-adjusted top-k score / 1,000","Cost-adjusted score difference vs arrival anchor / 1,000",Top-10 overlap vs arrival anchor
0.1,Arrival-bin anchor (diagnostic),270.6705779593223,0.0,1.0
0.1,First click or touch,22.216066247442168,-248.45451171188017,0.0
0.1,Last click or touch,22.39698739037389,-248.27359056894844,0.0
0.1,Linear attribution,20.682874457569834,-249.9877035017525,0.0
0.1,Time-decay attribution,20.891185824584568,-249.77939213473772,0.0
0.1,EM soft attribution,20.95760197444899,-249.7129759848733,0.0
0.5,Arrival-bin anchor (diagnostic),136.8569757088933,0.0,1.0
0.5,First click or touch,-6.051169510954933,-142.9081452198482,0.0
0.5,Last click or touch,-9.374634568150633,-146.2316102770439,0.0
0.5,Linear attribution,-7.265030163579084,-144.12200587247233,0.0
0.5,Time-decay attribution,-9.35240246293155,-146.2093781718248,0.0
0.5,EM soft attribution,-9.33590059882788,-146.19287630772115,0.0
1.0,Arrival-bin anchor (diagnostic),9.46934908247037,0.0,1.0
1.0,First click or touch,-23.55233742141668,-33.02168650388705,0.0
1.0,Last click or touch,-24.90561414141593,-34.374963223886304,0.0
1.0,Linear attribution,-24.768442530662536,-34.237791613132906,0.0
1.0,Time-decay attribution,-24.8732002021654,-34.34254928463577,0.0
1.0,EM soft attribution,-24.8718847512781,-34.34123383374846,0.0
