route_id,allocation_tv_vs_arrival,allocation_tv_ci_lower,allocation_tv_ci_upper,top_k,top_k_overlap_vs_arrival,top_k_overlap_ci_lower,top_k_overlap_ci_upper,panel,display_label,record_type,route_left,route_right,pair_label,allocation_tv,top_k_overlap
first_touch,0.654494382022472,0.6452210139068937,0.6635587800188898,10,0.8,0.5,0.8,a,First click or touch,arrival_route,,,,,
last_touch,0.5108848314606741,0.5011810612353848,0.5204969421081512,10,0.8,0.5,0.9,a,Last click or touch,arrival_route,,,,,
linear_credit,0.6011624742525298,0.5918777921077811,0.6099913006678266,10,0.8,0.5,0.9,a,Linear attribution,arrival_route,,,,,
time_decay_credit,0.5437032081901596,0.5342432089845849,0.5530864759416592,10,0.8,0.5,0.9,a,Time-decay attribution,arrival_route,,,,,
,,0.24662929318139695,0.26255631932237644,10,,0.7,1.0,b,,source_route_pair,first_touch,last_touch,First–Last,0.2384129213483146,1.0
,,0.1367465121420395,0.14524780023927794,10,,0.8,1.0,b,,source_route_pair,first_touch,linear_credit,First–Linear,0.12915180210231175,1.0
,,0.2194441084885066,0.2329403007331799,10,,0.7,1.0,b,,source_route_pair,first_touch,time_decay_credit,First–Decay,0.2133436065874062,1.0
,,0.14501989205492513,0.15432250781486453,10,,0.8,1.0,b,,source_route_pair,last_touch,linear_credit,Last–Linear,0.14019622646380844,1.0
,,0.04791866812498681,0.05211510608422509,10,,0.9,1.0,b,,source_route_pair,last_touch,time_decay_credit,Last–Decay,0.0470289909995538,1.0
,,0.10720718535355164,0.11446935221760672,10,,0.8,1.0,b,,source_route_pair,linear_credit,time_decay_credit,Linear–Decay,0.10553800706913255,1.0
