metric,route_left,route_right,value
allocation_tv,first_touch,first_touch,0.0
allocation_tv,first_touch,last_touch,0.2384129213483146
allocation_tv,first_touch,linear_credit,0.12915180210231175
allocation_tv,first_touch,time_decay_credit,0.2133436065874062
allocation_tv,last_touch,first_touch,0.2384129213483146
allocation_tv,last_touch,last_touch,0.0
allocation_tv,last_touch,linear_credit,0.14019622646380844
allocation_tv,last_touch,time_decay_credit,0.0470289909995538
allocation_tv,linear_credit,first_touch,0.12915180210231175
allocation_tv,linear_credit,last_touch,0.14019622646380844
allocation_tv,linear_credit,linear_credit,0.0
allocation_tv,linear_credit,time_decay_credit,0.10553800706913255
allocation_tv,time_decay_credit,first_touch,0.2133436065874062
allocation_tv,time_decay_credit,last_touch,0.0470289909995538
allocation_tv,time_decay_credit,linear_credit,0.10553800706913255
allocation_tv,time_decay_credit,time_decay_credit,0.0
top_k_overlap,first_touch,first_touch,1.0
top_k_overlap,first_touch,last_touch,1.0
top_k_overlap,first_touch,linear_credit,1.0
top_k_overlap,first_touch,time_decay_credit,1.0
top_k_overlap,last_touch,first_touch,1.0
top_k_overlap,last_touch,last_touch,1.0
top_k_overlap,last_touch,linear_credit,1.0
top_k_overlap,last_touch,time_decay_credit,1.0
top_k_overlap,linear_credit,first_touch,1.0
top_k_overlap,linear_credit,last_touch,1.0
top_k_overlap,linear_credit,linear_credit,1.0
top_k_overlap,linear_credit,time_decay_credit,1.0
top_k_overlap,time_decay_credit,first_touch,1.0
top_k_overlap,time_decay_credit,last_touch,1.0
top_k_overlap,time_decay_credit,linear_credit,1.0
top_k_overlap,time_decay_credit,time_decay_credit,1.0
kendall_tau_b,first_touch,first_touch,1.0
kendall_tau_b,first_touch,last_touch,0.298453140541172
kendall_tau_b,first_touch,linear_credit,0.6044263768055713
kendall_tau_b,first_touch,time_decay_credit,0.41974209474551927
kendall_tau_b,last_touch,first_touch,0.298453140541172
kendall_tau_b,last_touch,last_touch,1.0
kendall_tau_b,last_touch,linear_credit,0.6238902237195868
kendall_tau_b,last_touch,time_decay_credit,0.834000493907727
kendall_tau_b,linear_credit,first_touch,0.6044263768055713
kendall_tau_b,linear_credit,last_touch,0.6238902237195868
kendall_tau_b,linear_credit,linear_credit,1.0
kendall_tau_b,linear_credit,time_decay_credit,0.6863008657174995
kendall_tau_b,time_decay_credit,first_touch,0.41974209474551927
kendall_tau_b,time_decay_credit,last_touch,0.834000493907727
kendall_tau_b,time_decay_credit,linear_credit,0.6863008657174995
kendall_tau_b,time_decay_credit,time_decay_credit,1.0
