route_left,route_right,display_label,allocation_tv,allocation_tv_resampling_q025,allocation_tv_resampling_q500,allocation_tv_resampling_q975,kendall_tau_b,kendall_tau_b_resampling_q025,kendall_tau_b_resampling_q500,kendall_tau_b_resampling_q975,top_k,top_k_overlap,top_k_overlap_resampling_q025,top_k_overlap_resampling_q500,top_k_overlap_resampling_q975,common_active_cell_count,record_type,comparison_group,schema_version,run_id
arrival_time_accounting_anchor,first_click_or_touch,First-click-or-touch attribution,0.13830965926774308,0.15555131787047602,0.15715117988913752,0.15874710378927595,0.4824190992159766,0.4559143421728673,0.46314815048468966,0.470521563934576,10,0.5,0.3,0.6,0.8,16062,arrival_route,source_vs_arrival_anchor,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
arrival_time_accounting_anchor,last_click_or_touch,Last-click-or-touch attribution,0.10291682746772567,0.11788334681198355,0.11929872384948592,0.12079208396006354,0.5788020903662099,0.5535093819864981,0.5607404043947267,0.5681901770308185,10,0.6,0.4,0.6,0.8,15400,arrival_route,source_vs_arrival_anchor,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
arrival_time_accounting_anchor,linear_source_cell_credit,Linear source-cell credit,0.11894253271498781,0.13409820753252716,0.13555687694845103,0.1371844590822623,0.56049856418929,0.5306022684475924,0.53736191993352,0.5441038627981719,10,0.5,0.4,0.6,0.8,16369,arrival_route,source_vs_arrival_anchor,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
arrival_time_accounting_anchor,time_decay_source_cell_credit,Time-decay source-cell credit,0.10916126396795664,0.1239605804823756,0.125342404127386,0.12688313937315732,0.589144819333549,0.5587524109944494,0.5650855510833985,0.5716889614323187,10,0.5,0.4,0.6,0.8,16369,arrival_route,source_vs_arrival_anchor,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
first_click_or_touch,last_click_or_touch,First–Last,0.06176835518152883,0.07226929006772999,0.07337221930540225,0.07439861091534766,0.7174258471978646,0.7097656705862823,0.7162713593412504,0.7229279276542084,10,0.8,0.6,0.8,1.0,15490,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
first_click_or_touch,linear_source_cell_credit,First–Linear,0.03216834324618756,0.03790576781626104,0.03846673206529976,0.039033494133357716,0.8475712249359046,0.8420402901973079,0.8458939573091286,0.8499668111290233,10,0.9,0.7,0.9,1.0,15728,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
first_click_or_touch,time_decay_source_cell_credit,First–Decay,0.049638155022721106,0.05755771508032327,0.05838038017668819,0.05919548824085184,0.7741811188326542,0.7712283504748142,0.776336455686494,0.7819894222602423,10,0.9,0.7,0.8,1.0,15728,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
last_click_or_touch,linear_source_cell_credit,Last–Linear,0.032788333836238026,0.038395140790865485,0.038970617536745494,0.03952696578999584,0.8545082113377596,0.8451506377883382,0.848755718688638,0.8525218244687456,10,0.9,0.7,0.9,1.0,15728,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
last_click_or_touch,time_decay_source_cell_credit,Last–Decay,0.01665405827747619,0.019799272310653013,0.020132496556653605,0.020481304739787796,0.9250167745648283,0.9159760429052332,0.9181428375691143,0.9203183814114111,10,0.9,0.8,0.9,1.0,15728,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
linear_source_cell_credit,time_decay_source_cell_credit,Linear–Decay,0.019048877312472137,0.021603752258078347,0.021932439561046645,0.02227861908348521,0.9165681733115445,0.9177324258836365,0.9199665580565147,0.9222273663166072,10,1.0,0.8,0.9,1.0,15728,source_route_pair,source_route_pair,exp2_attribution_sensitivity_v2,exp2-full-20260807T111616+0800
