delay_bin,eligible_event_count,carrier_available_rate,exact_source_match_rate,action_match_rate,lag_hours_p10,lag_hours_median,lag_hours_p90,mean_source_to_carrier_lag_hours,panel_id,action_id,eligible_event_share,action_display_name,figure_run_id,figure_run_tier,figure_paper_result,figure_analysis_tier,figure_experiment_id,figure_config_hash,figure_input_manifest_hash,figure_code_version_type,figure_code_version
6-7h,1502178,1.0,0.0027872861937799,0.1279342394842688,0.3451791666666666,4.580028888888888,6.502957333333334,3.925544469299651,panel_a_carrier_lag,,,,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
7-8h,1499407,1.0,0.0023782735441411,0.1269048363786483,0.4465275555555555,5.358833333333333,7.488714833333335,4.592689427156128,panel_a_carrier_lag,,,,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
8-9h,1496740,1.0,0.0018573700175047,0.1259103117441907,0.6266351111111109,6.262664444444445,8.4843085,5.357377806690986,panel_a_carrier_lag,,,,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
9-10h,1498887,1.0,0.0015885120092441,0.1253950431219965,0.959697,7.269598333333334,9.486864944444443,6.21423925766048,panel_a_carrier_lag,,,,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,819819,,0.0027981786223544,0.2308594945957583,0.5354471111111111,5.696678055555555,8.620137055555558,,panel_b_action_match,action_01,0.160767138373999,Tag 39,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,424211,,0.0020485088788362,0.1125642663674445,0.5541794444444444,5.688035555555556,8.6325925,,panel_b_action_match,action_02,0.0831881043703214,Tag 28,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,414699,,0.0022908181596772,0.0890477189479598,0.5413328333333336,5.6303463888888885,8.614355555555555,,panel_b_action_match,action_03,0.0813227938320032,Tag 9,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,407839,,0.0019762700477394,0.1261036830710157,0.5498158888888889,5.485020555555556,8.574543333333333,,panel_b_action_match,action_04,0.0799775425396501,Tag 12,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,317790,,0.001689795147739,0.0734164070612668,0.6698564722222222,5.874565416666666,8.690926222222222,,panel_b_action_match,action_05,0.0623188641686435,Tag 34,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,292467,,0.0024002707997825,0.2327544646062632,0.6316301111111112,5.822438611111111,8.663973722222227,,panel_b_action_match,action_06,0.0573530043324543,Tag 3,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,288724,,0.0021439159889721,0.0646776852634349,0.5084972222222223,5.608441388888889,8.618839277777779,,panel_b_action_match,action_07,0.0566189991448045,Tag 11,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,298372,,0.0022321129328489,0.1107376027241162,0.4647902777777777,5.487844861111111,8.594634083333336,,panel_b_action_match,action_08,0.058510979388044,Tag 6,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
,219731,,0.0021207749475495,0.1017789934055731,0.4492019444444444,5.374477222222223,8.632635,,panel_b_action_match,action_09,0.0430894186180817,Tag 2,exp3-full-20260807T072340Z,full,True,appendix,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
