alpha,validation_origin,train_start,train_end,validation_date,supported_cell_count,macro_supported_cell_mae,exposure_weighted_supported_cell_mae,evaluation_data_used,macro_supported_cell_mae_mean,macro_supported_cell_mae_std,exposure_weighted_supported_cell_mae_mean,origin_count,selected,tie_break_applied,run_id,run_tier,paper_result,analysis_tier,experiment_id,config_hash,input_manifest_hash,code_version_type,code_version
0.1,0,2022-04-08,2022-04-14,2022-04-15,88,0.11305333414867098,0.0968224518967863,False,0.12235321099087905,0.027802608606689875,0.11227678175213171,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.3,0,2022-04-08,2022-04-14,2022-04-15,88,0.11305269779694256,0.09682218330260159,False,0.12235296887349112,0.027803006610528848,0.11227660199835832,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1.0,0,2022-04-08,2022-04-14,2022-04-15,88,0.11305047089239352,0.09682124323826126,False,0.12235212165243281,0.02780439931637079,0.11227597303320583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3.0,0,2022-04-08,2022-04-14,2022-04-15,88,0.11304411110782234,0.09681855747440138,False,0.12234970264639236,0.027808375841498166,0.11227417747162993,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10.0,0,2022-04-08,2022-04-14,2022-04-15,88,0.11302188457583111,0.09680915898569317,False,0.12234125503911418,0.027822263026792974,0.11226791022991536,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30.0,0,2022-04-08,2022-04-14,2022-04-15,88,0.11295866177987564,0.09678232355362376,False,0.12231727984246361,0.027861680051727258,0.1122501498655362,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.1,1,2022-04-08,2022-04-15,2022-04-16,90,0.1357231011699477,0.12724118561625486,False,0.12235321099087905,0.027802608606689875,0.11227678175213171,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.3,1,2022-04-08,2022-04-15,2022-04-16,90,0.13572359137290765,0.12724180491428738,False,0.12235296887349112,0.027803006610528848,0.11227660199835832,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1.0,1,2022-04-08,2022-04-15,2022-04-16,90,0.13572530686834877,0.12724397195531678,False,0.12235212165243281,0.02780439931637079,0.11227597303320583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3.0,1,2022-04-08,2022-04-15,2022-04-16,90,0.13573020644024528,0.12725015920028754,False,0.12234970264639236,0.027808375841498166,0.11227417747162993,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
