figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,plot_label,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.7070387387223995,Predicted 6h target (log1p),2.748970023444735,2.671440203201604,2.829353019211335,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.808861105216819,Predicted 6h target (log1p),2.815569808752352,2.7428891955297003,2.895763859393855,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.8513184311912534,Predicted 6h target (log1p),2.850435846846127,2.7976387959251405,2.91071944695759,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.906092794733743,Predicted 6h target (log1p),2.93282259672357,2.8722604178687763,2.992438293879725,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.93504096920799,Predicted 6h target (log1p),2.928961217895111,2.8807730177013497,2.968848942628918,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,2.9739347482528884,Predicted 6h target (log1p),2.9726123811592107,2.9232017662361582,3.019322545149936,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.0056807270561983,Predicted 6h target (log1p),3.0311630861425773,2.976930764279436,3.0773633468026995,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.0332675609058217,Predicted 6h target (log1p),3.05095353585426,2.9982504906042897,3.0950350238880247,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.053600800778044,Predicted 6h target (log1p),3.038595690382302,2.982751955909111,3.0784426588797724,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
fig_exp3_long_term_recoverability,panel_a,exp3_long_term_recoverability,kuairand_1k_semi_synthetic,action_value_coupled_matched_delay_pool,short_term_ridge_proxy,Short-term ridge proxy,ST ridge,lagged_short_term_proxy,none,False,False,held_out_calibration,held_out_calibration,mean_predicted_long_value_log,3.1675030594483524,Predicted 6h target (log1p),3.2315463299523195,3.1802815641135904,3.291054790984336,0.95,user_cluster_bootstrap,,100,,,history_defined_action_vocabulary__main_support_restricted,valid 6h standard-log source events; fixed history-defined actions; current-bin logged-support restriction,fast,False,ST ridge is fit on history-standard only and evaluated on main-standard. Points are prediction deciles; vertical bars are 95% user-bootstrap CIs.
