route_id,metric_id,full_sample_estimate,resampling_median,sensitivity_lower,sensitivity_upper,panel_id,contrast_id,scope_note,formal_ci_validated,ridge_refit_in_resampling,run_id,run_tier,paper_result,analysis_tier,experiment_id,config_hash,input_manifest_hash,code_version_type,code_version
arrival_carrier,pooled_supported_cell_spearman,0.6101603752392624,0.5107505148885543,0.4085818320001319,0.597928714443564,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history_mean_control,pooled_supported_cell_spearman,0.714376437546001,0.6166086587882681,0.5012951793950245,0.6992475576217799,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
ridge_proxy,pooled_supported_cell_spearman,0.6957835038571462,0.593431996720412,0.5174995875381194,0.6588010605086804,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
arrival_carrier,pooled_supported_cell_mae,0.1284886499008865,0.1666539489672505,0.1550726417429664,0.1793795900680657,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history_mean_control,pooled_supported_cell_mae,0.1060607125836783,0.1370792802577994,0.1225682838391444,0.1580410598991651,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
ridge_proxy,pooled_supported_cell_mae,0.1050646441968716,0.1366867869864767,0.1220507841427354,0.1557793659890695,panel_a_score,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
arrival_carrier,maximum_heldout_reference_pair_gap_error,0.6417907610969317,0.7948759074569924,0.7221834149759886,0.8700745733286283,panel_b_gap,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
history_mean_control,maximum_heldout_reference_pair_gap_error,0.3859172131275212,0.4861197961543506,0.4474238836122197,0.5245767561048127,panel_b_gap,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
ridge_proxy,maximum_heldout_reference_pair_gap_error,0.3996226504928925,0.4917990492619721,0.452933547749781,0.5318346528573152,panel_b_gap,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
arrival_carrier,heldout_reference_pair_sign_agreement,0.764631949375621,0.681947663568953,0.6103603297167483,0.7512956310235779,panel_b_gap,,,,,exp3-full-20260807T072340Z,full,True,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
