contrast_family,contrast_id,fixed_parameter,level_from,level_to,paired_mean_difference,paired_sd,paired_mcse,ci_lower,ci_upper,direction_agreement_rate,exact_zero_rate,non_finite_count,shared_seed_count,expected_direction,is_primary_contrast,primary_contrast_half_width,primary_contrast_relative_half_width,monte_carlo_precision_gate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
route_label_rate,q_0_to_0.3__sigma_0,sigma_proxy=0,0.0,0.3,-0.0208735893844734,0.001600633008452,0.0001600633008452,-0.0211888046190117,-0.0205560017620436,1.0,0.0,0,100,decrease,False,0.000316401428484,0.0151579789491968,PASS,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0,sigma_proxy=0,0.3,0.7,-0.0338970271984067,0.0020594115521053,0.0002059411552105,-0.0343081459800986,-0.0334831213170892,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0,sigma_proxy=0,0.7,1.0,-0.0276173119027409,0.0020719082865985,0.0002071908286598,-0.0280111070974498,-0.0272186062606004,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_0.1,sigma_proxy=0.1,0.0,0.3,-0.02096670187939,0.0016219661373023,0.0001621966137302,-0.0212782373021554,-0.0206576238606057,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.1,sigma_proxy=0.1,0.3,0.7,-0.0340979968624825,0.0020767083554246,0.0002076708355424,-0.0345089317764949,-0.0337047656571305,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0.1,sigma_proxy=0.1,0.7,1.0,-0.0278536667121112,0.0020637275187171,0.0002063727518717,-0.0282618340248736,-0.0274510945897318,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_0.25,sigma_proxy=0.25,0.0,0.3,-0.0215244383580564,0.0016811580499856,0.0001681158049985,-0.0218592984957698,-0.0212111571559992,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.25,sigma_proxy=0.25,0.3,0.7,-0.0353127238329809,0.0021724550987506,0.000217245509875,-0.0357307955441582,-0.0348908923562739,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0.25,sigma_proxy=0.25,0.7,1.0,-0.0291393742682267,0.0021210128174027,0.0002121012817402,-0.0295655766346204,-0.0287278940306912,1.0,0.0,0,100,decrease,True,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_1,sigma_proxy=1,0.0,0.3,-0.035806271248401,0.0027806270149724,0.0002780627014972,-0.0363473945080328,-0.0352693795686827,1.0,0.0,0,100,decrease,False,,,NOT_APPLICABLE_NON_FULL,full_20260806T021401Z_5627f17b,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,889bc77120cd52de73c2d0659d1575aaa395196e,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,52e2ca0be113392807336020532d3996823a4d02465ecae60b1fa37dcbffdd9c,c418ceaf99072b87f00aac0070d20925fe3c9f0eefd10dde8e2736e2c993ddf0,exp4_controlled_route_audit_v2,aggregate
