contrast_family,contrast_id,fixed_parameter,level_from,level_to,paired_mean_difference,paired_sd,paired_mcse,ci_lower,ci_upper,direction_agreement_rate,exact_zero_rate,non_finite_count,shared_seed_count,expected_direction,is_primary_contrast,primary_contrast_half_width,primary_contrast_relative_half_width,monte_carlo_precision_gate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
route_label_rate,q_0_to_0.3__sigma_0,sigma_proxy=0,0.0,0.3,-0.020873589384473437,0.001600633008452022,0.00016006330084520221,-0.02118880461901172,-0.020556001762043665,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0,sigma_proxy=0,0.3,0.7,-0.03389702719840678,0.002059411552105396,0.00020594115521053958,-0.03430814598009861,-0.03348312131708921,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0,sigma_proxy=0,0.7,1.0,-0.02761731190274094,0.0020719082865985894,0.00020719082865985894,-0.028011107097449802,-0.027218606260600492,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_0.1,sigma_proxy=0.1,0.0,0.3,-0.02096670187939005,0.0016219661373023406,0.00016219661373023406,-0.02127823730215542,-0.020657623860605788,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.1,sigma_proxy=0.1,0.3,0.7,-0.0340979968624825,0.002076708355424649,0.00020767083554246488,-0.03450893177649496,-0.033704765657130556,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0.1,sigma_proxy=0.1,0.7,1.0,-0.02785366671211126,0.002063727518717137,0.0002063727518717137,-0.028261834024873644,-0.027451094589731898,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_0.25,sigma_proxy=0.25,0.0,0.3,-0.021524438358056414,0.001681158049985671,0.0001681158049985671,-0.021859298495769817,-0.021211157155999267,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.25,sigma_proxy=0.25,0.3,0.7,-0.03531272383298095,0.0021724550987506203,0.00021724550987506204,-0.03573079554415821,-0.03489089235627395,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0.7_to_1__sigma_0.25,sigma_proxy=0.25,0.7,1.0,-0.029139374268226704,0.0021210128174027967,0.00021210128174027967,-0.0295655766346204,-0.028727894030691287,1.0,0.0,0,100,decrease,True,0.0004188413019645572,0.0143737232690428,PASS,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
route_label_rate,q_0_to_0.3__sigma_1,sigma_proxy=1,0.0,0.3,-0.03580627124840104,0.002780627014972487,0.0002780627014972487,-0.036347394508032836,-0.035269379568682764,1.0,0.0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260807T045219Z_7eeb2a31,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,7915d9f10d3f70094c057f75655f791b44f9997c,0f87d5b27c36a5e6857bd889a8ee48a0b2b2e6abb10d8d08a7980998c1458db9,1b265647b85ce479a9571526f7d30430e6fe18afac75d069195d3368c75f2965,805a7fc583bb99acdf6f15864a33f0c96033d74e87dbf8fb4601ef6b19d69c2a,exp4_controlled_route_audit_v2,aggregate
