source_label_rate_q,proxy_noise_sigma,oracle_normalized_recovery,n_seeds,uncertainty_unit
0.0,0.05,0.0990 [fast preview],3,fast_preview_point_estimate_only
0.0,0.1,0.0964 [fast preview],3,fast_preview_point_estimate_only
0.0,0.25,0.1002 [fast preview],3,fast_preview_point_estimate_only
0.0,0.5,0.0823 [fast preview],3,fast_preview_point_estimate_only
0.0,1.0,0.0806 [fast preview],3,fast_preview_point_estimate_only
0.1,0.05,0.1721 [fast preview],3,fast_preview_point_estimate_only
0.1,0.1,0.1545 [fast preview],3,fast_preview_point_estimate_only
0.1,0.25,0.1528 [fast preview],3,fast_preview_point_estimate_only
0.1,0.5,0.1618 [fast preview],3,fast_preview_point_estimate_only
0.1,1.0,0.1309 [fast preview],3,fast_preview_point_estimate_only
0.3,0.05,0.3021 [fast preview],3,fast_preview_point_estimate_only
0.3,0.1,0.2840 [fast preview],3,fast_preview_point_estimate_only
0.3,0.25,0.2699 [fast preview],3,fast_preview_point_estimate_only
0.3,0.5,0.2710 [fast preview],3,fast_preview_point_estimate_only
0.3,1.0,0.2508 [fast preview],3,fast_preview_point_estimate_only
0.5,0.05,0.3878 [fast preview],3,fast_preview_point_estimate_only
0.5,0.1,0.3812 [fast preview],3,fast_preview_point_estimate_only
0.5,0.25,0.3760 [fast preview],3,fast_preview_point_estimate_only
0.5,0.5,0.3774 [fast preview],3,fast_preview_point_estimate_only
0.5,1.0,0.3710 [fast preview],3,fast_preview_point_estimate_only
0.7,0.05,0.4556 [fast preview],3,fast_preview_point_estimate_only
0.7,0.1,0.4646 [fast preview],3,fast_preview_point_estimate_only
0.7,0.25,0.4640 [fast preview],3,fast_preview_point_estimate_only
0.7,0.5,0.4646 [fast preview],3,fast_preview_point_estimate_only
0.7,1.0,0.4518 [fast preview],3,fast_preview_point_estimate_only
1.0,0.05,0.5426 [fast preview],3,fast_preview_point_estimate_only
1.0,0.1,0.5426 [fast preview],3,fast_preview_point_estimate_only
1.0,0.25,0.5426 [fast preview],3,fast_preview_point_estimate_only
1.0,0.5,0.5426 [fast preview],3,fast_preview_point_estimate_only
1.0,1.0,0.5426 [fast preview],3,fast_preview_point_estimate_only
