figure_id,panel_id,experiment_id,subexperiment_id,setting_id,method_id,method_display_name,information_interface,reference_role,diagnostic_only,deployable,metric_id,metric_formula_id,x_id,x_value,x_display_label,y_value,ci_lower,ci_upper,ci_level,uncertainty_unit,n_seeds,n_bootstrap,n_events,n_users,filter_id,filter_description,run_mode,paper_result,notes
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.00,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,0.0,Delay-state coupling beta,0.064229867785951,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.25,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,0.25,Delay-state coupling beta,0.0845172325128285,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.50,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,0.5,Delay-state coupling beta,0.1064043550229416,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_1.00,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,1.0,Delay-state coupling beta,0.1501866999396154,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_1.50,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,1.5,Delay-state coupling beta,0.1656763735683033,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_2.00,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,2.0,Delay-state coupling beta,0.1661994393271926,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,a,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_3.00,arrival_time_naive,Arrival time,arrival_time,none,False,True,ranking_reversal_rate,source_arrival_ranking_reversal,delay_state_coupling_beta,3.0,Delay-state coupling beta,0.1660659458016286,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,
fig_app_exp4_delay_state_coupling,b,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.00,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,source_binding_advantage,arrival_time_regret_minus_source_labelled_reference_regret,delay_state_coupling_beta,0.0,Delay-state coupling beta,0.297493124011687,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Positive values favour source binding. The source-binding advantage is positive across the tested coupling settings, but is not claimed to increase monotonically with beta. beta = 0 denotes no additional delay-state association. It does not imply zero delay or zero source-arrival mismatch."
fig_app_exp4_delay_state_coupling,b,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.25,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,source_binding_advantage,arrival_time_regret_minus_source_labelled_reference_regret,delay_state_coupling_beta,0.25,Delay-state coupling beta,0.3123967836285877,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Positive values favour source binding. The source-binding advantage is positive across the tested coupling settings, but is not claimed to increase monotonically with beta. beta = 0 denotes no additional delay-state association. It does not imply zero delay or zero source-arrival mismatch."
fig_app_exp4_delay_state_coupling,b,exp4_recoverability_boundary,delay_state_coupling_diagnostic,beta_0.50,source_labelled_reference,Source labelled reference,source_labelled,source_labelled_reference,False,False,source_binding_advantage,arrival_time_regret_minus_source_labelled_reference_regret,delay_state_coupling_beta,0.5,Delay-state coupling beta,0.3095117972352317,,,,fast_preview_point_estimate_only,3,0,,,primary_setting_beta_200,controlled structural_high setting with beta=2.00,fast,False,"Positive values favour source binding. The source-binding advantage is positive across the tested coupling settings, but is not claimed to increase monotonically with beta. beta = 0 denotes no additional delay-state association. It does not imply zero delay or zero source-arrival mismatch."
