method_display_name,source_label_rate_q,proxy_noise_sigma,causal_regret,n_seeds,uncertainty_unit
Arrival time,0.0,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Arrival time,0.1,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Arrival time,0.3,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Arrival time,0.5,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Arrival time,0.7,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Arrival time,1.0,0.25,0.6060 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,0.0,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,0.1,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,0.3,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,0.5,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,0.7,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Observable history surrogate,1.0,0.25,0.5678 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,0.0,0.25,0.5449 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,0.1,0.25,0.5130 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,0.3,0.25,0.4420 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,0.5,0.25,0.3777 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,0.7,0.25,0.3244 [fast preview],3,fast_preview_point_estimate_only
Proxy label recovery,1.0,0.25,0.2769 [fast preview],3,fast_preview_point_estimate_only
Source labelled reference,1.0,0.25,0.2769 [fast preview],3,fast_preview_point_estimate_only
