source_label_rate_q,proxy_noise_sigma,reference,candidate,n_paired_seeds,mean_difference_candidate_minus_reference,ci_low,ci_high,inference_status,inference_note,delay_state_coupling_beta
0.0,0.25,arrival_time_naive,proxy_label_recovery,30,-0.05730808869913046,-0.06589063584907097,-0.04831440008598352,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
0.1,0.25,arrival_time_naive,proxy_label_recovery,30,-0.09507142916584901,-0.10352552995938602,-0.0860739490058083,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
0.3,0.25,arrival_time_naive,proxy_label_recovery,30,-0.16498429147257737,-0.17348907616186918,-0.15667779626728445,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
0.5,0.25,arrival_time_naive,proxy_label_recovery,30,-0.22624155598067366,-0.23457471378311287,-0.21814078083019595,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
0.7,0.25,arrival_time_naive,proxy_label_recovery,30,-0.27395841839436913,-0.28171654710813687,-0.2666675340532508,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
1.0,0.25,arrival_time_naive,proxy_label_recovery,30,-0.3250195796268707,-0.3323149812671164,-0.3175618664270522,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,
,,arrival_time_naive,source_labelled_reference,30,-0.30466436510231804,-0.31119295081768933,-0.2981235516521719,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,0.0
,,arrival_time_naive,source_labelled_reference,30,-0.2965856588571514,-0.30386325962085414,-0.2889228247141737,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,0.25
,,arrival_time_naive,source_labelled_reference,30,-0.30100052473885663,-0.30774668276932715,-0.2931169184803979,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,0.5
,,arrival_time_naive,source_labelled_reference,30,-0.3153929387930099,-0.32122617022498323,-0.3085902049421792,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,1.0
,,arrival_time_naive,source_labelled_reference,30,-0.32863452254281345,-0.3363576246036939,-0.3200479518209076,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,1.5
,,arrival_time_naive,source_labelled_reference,30,-0.3250195796268707,-0.3323999946260832,-0.31759653010353434,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,2.0
,,arrival_time_naive,source_labelled_reference,30,-0.33273828387672055,-0.3392305107375203,-0.32708994093554217,formal_full_paired_percentile_bootstrap_ci,Paired percentile-bootstrap confidence interval over shared seeds with 2000 resamples; no p-value is reported.,3.0
