method_display_name,delay_state_coupling_beta,causal_regret,ranking_reversal_rate_mean,mean_delay_mean,pending_fraction_mean,n_seeds,uncertainty_unit
Arrival time,0.0,"0.5903 [0.5834, 0.5970]",0.0635604655417628,2.0,0.0004266666666666,30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.25,"0.5813 [0.5742, 0.5886]",0.0848408064569398,2.0,0.00056,30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.5,"0.5840 [0.5773, 0.5906]",0.1068831926733465,2.0,0.0006533333333333,30,shared_simulation_seed_percentile_bootstrap
Arrival time,1.0,"0.5920 [0.5850, 0.5981]",0.1516883224400647,2.0,0.0009333333333333,30,shared_simulation_seed_percentile_bootstrap
Arrival time,1.5,"0.6031 [0.5945, 0.6110]",0.166445328442415,2.0,0.0011933333333333,30,shared_simulation_seed_percentile_bootstrap
Arrival time,2.0,"0.6010 [0.5935, 0.6083]",0.1666811073045147,2.0,0.0011266666666666,30,shared_simulation_seed_percentile_bootstrap
Arrival time,3.0,"0.6067 [0.6007, 0.6128]",0.1668668637604902,2.0,0.00108,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.0,"0.5332 [0.5231, 0.5428]",0.0635604655417628,2.0,0.0004266666666666,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.25,"0.5419 [0.5328, 0.5514]",0.0848408064569398,2.0,0.00056,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.5,"0.5371 [0.5275, 0.5467]",0.1068831926733465,2.0,0.0006533333333333,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,1.0,"0.5453 [0.5347, 0.5556]",0.1516883224400647,2.0,0.0009333333333333,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,1.5,"0.5521 [0.5405, 0.5635]",0.166445328442415,2.0,0.0011933333333333,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,2.0,"0.5541 [0.5428, 0.5655]",0.1666811073045147,2.0,0.0011266666666666,30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,3.0,"0.5593 [0.5501, 0.5681]",0.1668668637604902,2.0,0.00108,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.0,"0.5402 [0.5359, 0.5444]",0.0635604655417628,2.0,0.0004266666666666,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.25,"0.5379 [0.5324, 0.5431]",0.0848408064569398,2.0,0.00056,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.5,"0.5404 [0.5358, 0.5449]",0.1068831926733465,2.0,0.0006533333333333,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,1.0,"0.5407 [0.5357, 0.5454]",0.1516883224400647,2.0,0.0009333333333333,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,1.5,"0.5421 [0.5380, 0.5459]",0.166445328442415,2.0,0.0011933333333333,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,2.0,"0.5436 [0.5384, 0.5486]",0.1666811073045147,2.0,0.0011266666666666,30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,3.0,"0.5407 [0.5361, 0.5450]",0.1668668637604902,2.0,0.00108,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,0.0,"0.2856 [0.2838, 0.2874]",0.0635604655417628,2.0,0.0004266666666666,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,0.25,"0.2847 [0.2823, 0.2871]",0.0848408064569398,2.0,0.00056,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,0.5,"0.2830 [0.2808, 0.2853]",0.1068831926733465,2.0,0.0006533333333333,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,1.0,"0.2766 [0.2744, 0.2788]",0.1516883224400647,2.0,0.0009333333333333,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,1.5,"0.2745 [0.2726, 0.2762]",0.166445328442415,2.0,0.0011933333333333,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,2.0,"0.2759 [0.2737, 0.2781]",0.1666811073045147,2.0,0.0011266666666666,30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,3.0,"0.2740 [0.2718, 0.2763]",0.1668668637604902,2.0,0.00108,30,shared_simulation_seed_percentile_bootstrap
