comparison_id,setting_id,metric_id,contrast,point_estimate,ci_lower,ci_upper,ci_level,n_seeds,n_bootstrap,interpretation
proxy_label_recovery_vs_arrival_time_naive_q_000,structural_high_beta_200_sigma_025_q_000,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.0573080886991304,-0.0658906358490709,-0.0483144000859835,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_arrival_time_naive_q_100,structural_high_beta_200_sigma_025_q_100,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.095071429165849,-0.103525529959386,-0.0860739490058083,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_arrival_time_naive_q_300,structural_high_beta_200_sigma_025_q_300,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.1649842914725773,-0.1734890761618691,-0.1566777962672844,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_arrival_time_naive_q_500,structural_high_beta_200_sigma_025_q_500,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.2262415559806736,-0.2345747137831128,-0.2181407808301959,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_arrival_time_naive_q_700,structural_high_beta_200_sigma_025_q_700,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.2739584183943691,-0.2817165471081368,-0.2666675340532508,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_arrival_time_naive_q_1000,structural_high_beta_200_sigma_025_q_1000,causal_regret_per_round,proxy_label_recovery - arrival_time_naive,-0.3250195796268707,-0.3323149812671164,-0.3175618664270522,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_000,delay_state_coupling_beta_000,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.304664365102318,-0.3111929508176893,-0.2981235516521719,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_025,delay_state_coupling_beta_025,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.2965856588571514,-0.3038632596208541,-0.2889228247141737,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_050,delay_state_coupling_beta_050,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.3010005247388566,-0.3077466827693271,-0.2931169184803979,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_100,delay_state_coupling_beta_100,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.3153929387930099,-0.3212261702249832,-0.3085902049421792,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_150,delay_state_coupling_beta_150,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.3286345225428134,-0.3363576246036939,-0.3200479518209076,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_200,delay_state_coupling_beta_200,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.3250195796268707,-0.3323999946260832,-0.3175965301035343,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
source_labelled_reference_vs_arrival_time_naive_beta_300,delay_state_coupling_beta_300,causal_regret_per_round,source_labelled_reference - arrival_time_naive,-0.3327382838767205,-0.3392305107375203,-0.3270899409355421,0.95,30,2000,Paired percentile-bootstrap interval over shared seeds; no bootstrap pseudo-p-value is reported.
proxy_label_recovery_vs_observable_history_surrogate_q_000,structural_high_beta_200_sigma_025_q_000,causal_regret_per_round,proxy_label_recovery - observable_history_surrogate,-0.010436201570581113,-0.021522512097252176,0.0013707315122194657,0.95,30,2000,"The proxy-label route improves on arrival-time assignment at q = 0, but does not establish a reliable advantage over the observable-history surrogate under the paired 95% interval."
