source_label_rate_q,proxy_noise_sigma,oracle_normalized_recovery,n_seeds,uncertainty_unit
0.0,0.05,"0.1033 [0.0914, 0.1145]",30,shared_simulation_seed_percentile_bootstrap
0.0,0.1,"0.0971 [0.0830, 0.1100]",30,shared_simulation_seed_percentile_bootstrap
0.0,0.25,"0.0944 [0.0813, 0.1072]",30,shared_simulation_seed_percentile_bootstrap
0.0,0.5,"0.0808 [0.0657, 0.0946]",30,shared_simulation_seed_percentile_bootstrap
0.0,1.0,"0.0641 [0.0506, 0.0781]",30,shared_simulation_seed_percentile_bootstrap
0.1,0.05,"0.1646 [0.1503, 0.1785]",30,shared_simulation_seed_percentile_bootstrap
0.1,0.1,"0.1578 [0.1461, 0.1683]",30,shared_simulation_seed_percentile_bootstrap
0.1,0.25,"0.1571 [0.1439, 0.1692]",30,shared_simulation_seed_percentile_bootstrap
0.1,0.5,"0.1525 [0.1403, 0.1650]",30,shared_simulation_seed_percentile_bootstrap
0.1,1.0,"0.1279 [0.1141, 0.1421]",30,shared_simulation_seed_percentile_bootstrap
0.3,0.05,"0.2790 [0.2678, 0.2902]",30,shared_simulation_seed_percentile_bootstrap
0.3,0.1,"0.2781 [0.2675, 0.2884]",30,shared_simulation_seed_percentile_bootstrap
0.3,0.25,"0.2736 [0.2620, 0.2852]",30,shared_simulation_seed_percentile_bootstrap
0.3,0.5,"0.2685 [0.2578, 0.2800]",30,shared_simulation_seed_percentile_bootstrap
0.3,1.0,"0.2474 [0.2355, 0.2589]",30,shared_simulation_seed_percentile_bootstrap
0.5,0.05,"0.3761 [0.3668, 0.3864]",30,shared_simulation_seed_percentile_bootstrap
0.5,0.1,"0.3712 [0.3618, 0.3805]",30,shared_simulation_seed_percentile_bootstrap
0.5,0.25,"0.3756 [0.3658, 0.3849]",30,shared_simulation_seed_percentile_bootstrap
0.5,0.5,"0.3655 [0.3554, 0.3750]",30,shared_simulation_seed_percentile_bootstrap
0.5,1.0,"0.3557 [0.3471, 0.3644]",30,shared_simulation_seed_percentile_bootstrap
0.7,0.05,"0.4568 [0.4482, 0.4647]",30,shared_simulation_seed_percentile_bootstrap
0.7,0.1,"0.4552 [0.4467, 0.4638]",30,shared_simulation_seed_percentile_bootstrap
0.7,0.25,"0.4553 [0.4480, 0.4629]",30,shared_simulation_seed_percentile_bootstrap
0.7,0.5,"0.4518 [0.4435, 0.4600]",30,shared_simulation_seed_percentile_bootstrap
0.7,1.0,"0.4418 [0.4327, 0.4513]",30,shared_simulation_seed_percentile_bootstrap
1.0,0.05,"0.5403 [0.5336, 0.5466]",30,shared_simulation_seed_percentile_bootstrap
1.0,0.1,"0.5403 [0.5336, 0.5467]",30,shared_simulation_seed_percentile_bootstrap
1.0,0.25,"0.5403 [0.5336, 0.5465]",30,shared_simulation_seed_percentile_bootstrap
1.0,0.5,"0.5403 [0.5340, 0.5466]",30,shared_simulation_seed_percentile_bootstrap
1.0,1.0,"0.5403 [0.5336, 0.5467]",30,shared_simulation_seed_percentile_bootstrap
