method_display_name,source_label_rate_q,proxy_noise_sigma,causal_regret,n_seeds,uncertainty_unit
Arrival time,0.0,0.25,"0.6010 [0.5935, 0.6085]",30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.1,0.25,"0.6010 [0.5934, 0.6084]",30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.3,0.25,"0.6010 [0.5933, 0.6082]",30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.5,0.25,"0.6010 [0.5935, 0.6083]",30,shared_simulation_seed_percentile_bootstrap
Arrival time,0.7,0.25,"0.6010 [0.5939, 0.6082]",30,shared_simulation_seed_percentile_bootstrap
Arrival time,1.0,0.25,"0.6010 [0.5934, 0.6084]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.0,0.25,"0.5541 [0.5429, 0.5659]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.1,0.25,"0.5541 [0.5421, 0.5651]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.3,0.25,"0.5541 [0.5421, 0.5653]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.5,0.25,"0.5541 [0.5424, 0.5659]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,0.7,0.25,"0.5541 [0.5423, 0.5658]",30,shared_simulation_seed_percentile_bootstrap
Observable history surrogate,1.0,0.25,"0.5541 [0.5421, 0.5651]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.0,0.25,"0.5436 [0.5386, 0.5486]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.1,0.25,"0.5059 [0.5017, 0.5099]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.3,0.25,"0.4360 [0.4320, 0.4395]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.5,0.25,"0.3747 [0.3722, 0.3773]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,0.7,0.25,"0.3270 [0.3240, 0.3298]",30,shared_simulation_seed_percentile_bootstrap
Proxy label recovery,1.0,0.25,"0.2759 [0.2737, 0.2782]",30,shared_simulation_seed_percentile_bootstrap
Source labelled reference,1.0,0.25,"0.2759 [0.2736, 0.2782]",30,shared_simulation_seed_percentile_bootstrap
