figure_id,panel_id,experiment_id,run_id,run_tier,paper_result,analysis_tier,metric_id,estimand_id,condition_id,series_id,point_estimate,resampling_median,interval_lower,interval_upper,uncertainty_role,uncertainty_method,repetition_count,sample_count,unit,better_direction,source_table,source_row_key
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,zero_delay,alignment_budget_rate,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,0
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,zero_delay,generated_mean_delay,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,1
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,zero_delay,structural_regret_rate,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,3
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,zero_delay,transfer_bound_rate,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,4
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,zero_delay,arrival_clock,0.1128961344263348,,0.1123011636851251,0.1134929337931929,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,5
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,zero_delay,paired_contrast,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,7
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,zero_delay,source_round,0.1128961344263348,,0.11227145063250051,0.1135052120840204,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,6
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,exact_valid_shift,alignment_budget_rate,5.5502171146063847e-17,,5.5288500557318384e-17,5.5722195972691709e-17,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,8
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,exact_valid_shift,generated_mean_delay,14.970849673202611,,14.907229084967319,15.033072385620914,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,9
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,exact_valid_shift,structural_regret_rate,0,,0,0,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,11
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,exact_valid_shift,transfer_bound_rate,5.5502171146063847e-17,,5.5291547562963851e-17,5.5725515257642787e-17,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,12
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,exact_valid_shift,arrival_clock,0.1983179199999999,,0.1968407519999999,0.19967829599999989,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,13
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,exact_valid_shift,paired_contrast,0.067495040000000006,,0.066203312,0.068873123999999897,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,15
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,exact_valid_shift,source_round,0.13082288,,0.13034893199999989,0.13137316399999999,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,14
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,geometric_delay,alignment_budget_rate,0.25877143265637709,,0.25492279617175539,0.26270635636278078,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,16
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,geometric_delay,generated_mean_delay,14.970849673202611,,14.904618790849671,15.028969117647058,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,17
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,geometric_delay,structural_regret_rate,0.032565150539402003,,0.0316533415095442,0.033401516419985802,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,19
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,geometric_delay,transfer_bound_rate,0.25877143265637709,,0.25461763920597619,0.26262536742411668,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,20
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,geometric_delay,arrival_clock,0.16816585299615949,,0.16628471021905869,0.17002141465425341,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,21
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,geometric_delay,paired_contrast,0.054439696994797199,,0.052715688676894801,0.056225106226091601,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,23
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,geometric_delay,source_round,0.1137261560013622,,0.1131115333422739,0.1143686861032218,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,22
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,mixture_delay,alignment_budget_rate,0.2191296534230705,,0.21572518782575761,0.22232686976566429,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,24
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,mixture_delay,generated_mean_delay,14.97058823529412,,14.856214542483659,15.074987254901959,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,25
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,mixture_delay,structural_regret_rate,0.027408768547175399,,0.026634900655341399,0.0281631831698483,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,27
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,mixture_delay,transfer_bound_rate,0.2191296534230705,,0.2158187804672875,0.22224617198481481,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,28
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,mixture_delay,arrival_clock,0.15732055037928441,,0.15584751697039531,0.1588657811512377,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,29
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,mixture_delay,paired_contrast,0.043667689047043198,,0.042506302578462801,0.044841915406472102,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,31
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,mixture_delay,source_round,0.1136528613322411,,0.1130227272647566,0.1142489677981056,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,30
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,state_coupled_delay,alignment_budget_rate,0.24808823278502951,,0.2436658699178359,0.25230389786653662,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,32
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,state_coupled_delay,generated_mean_delay,14.902045751633986,,14.538344281045749,15.284206699346404,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,33
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,state_coupled_delay,structural_regret_rate,0.030269411935068002,,0.029357573632411,0.0311212537470597,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,35
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,state_coupled_delay,transfer_bound_rate,0.24808823278502951,,0.24351384695557249,0.25266799172025811,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,36
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,state_coupled_delay,arrival_clock,0.16532643480770309,,0.16318570182144379,0.1674824916856372,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,37
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,state_coupled_delay,paired_contrast,0.051603358235200097,,0.049811923229285002,0.053384502424946599,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,39
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,state_coupled_delay,source_round,0.1137230765725029,,0.11313466150895971,0.11430639803822359,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,38
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,alignment_budget_rate,alignment_budget_rate,systematic_misbinding,alignment_budget_rate,0.55557037037037038,,0.55531111111111109,0.55582962962962956,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,40
fig_exp1_alignment_transfer,a,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,generated_mean_delay,generated_mean_delay,systematic_misbinding,generated_mean_delay,15,,15,15,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,41
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,systematic_misbinding,structural_regret_rate,0.1543251028806584,,0.1542489711934156,0.15439506172839501,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,43
fig_exp1_alignment_transfer,b,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,transfer_bound_rate,transfer_bound_rate,systematic_misbinding,transfer_bound_rate,0.55557037037037038,,0.55530370370370363,0.55582222222222211,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,44
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,systematic_misbinding,arrival_clock,0.1784710288065843,,0.1772179053497942,0.1796444506172839,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,45
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,arrival_minus_source_regret_rate,arrival_minus_source_regret_rate,systematic_misbinding,paired_contrast,0.071388971193415598,,0.070165660493827095,0.072606551440329195,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,47
fig_exp1_alignment_transfer,c,exp1_alignment_transfer,exp1_alignment_transfer:full:2026-08-17T06:28:21.157011+00:00,paper,True,primary,structural_regret_rate,structural_regret_rate,systematic_misbinding,source_round,0.1070820576131687,,0.1065167407407407,0.10761327160493819,95% seed-bootstrap interval,seed_bootstrap,2000,30,rate,lower,fig_exp1_alignment_transfer_data.csv,46
