figure_id,panel_id,experiment_id,run_id,run_tier,paper_result,analysis_tier,metric_id,estimand_id,condition_id,series_id,point_estimate,resampling_median,interval_lower,interval_upper,uncertainty_role,uncertainty_method,repetition_count,sample_count,unit,better_direction,source_table,source_row_key
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,allocation_tv,allocation_tv,First-click-or-touch attribution,full_sample_and_uid_median,0.138309659267743,0.15715117988913749,0.15555131787047599,0.1587471037892759,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16062,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,0
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,kendall_tau_b,kendall_tau_b,First-click-or-touch attribution,full_sample_and_uid_median,0.48241909921597659,0.4631481504846896,0.4559143421728673,0.470521563934576,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16062,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,0
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,allocation_tv,allocation_tv,Last-click-or-touch attribution,full_sample_and_uid_median,0.1029168274677256,0.11929872384948589,0.11788334681198349,0.1207920839600635,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,15400,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,1
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,kendall_tau_b,kendall_tau_b,Last-click-or-touch attribution,full_sample_and_uid_median,0.57880209036620989,0.56074040439472672,0.55350938198649813,0.56819017703081853,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,15400,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,1
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,allocation_tv,allocation_tv,Linear source-cell credit,full_sample_and_uid_median,0.11894253271498779,0.135556876948451,0.1340982075325271,0.13718445908226229,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16369,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,2
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,kendall_tau_b,kendall_tau_b,Linear source-cell credit,full_sample_and_uid_median,0.56049856418929001,0.53736191993352,0.5306022684475924,0.54410386279817191,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16369,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,2
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,allocation_tv,allocation_tv,Time-decay source-cell credit,full_sample_and_uid_median,0.1091612639679566,0.12534240412738601,0.1239605804823756,0.12688313937315729,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16369,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,3
figure_exp2_attribution_sensitivity,source_vs_arrival,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,kendall_tau_b,kendall_tau_b,Time-decay source-cell credit,full_sample_and_uid_median,0.58914481933354901,0.56508555108339853,0.55875241099444939,0.57168896143231873,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,16369,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,3
figure_exp2_attribution_sensitivity,source_pair,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,allocation_tv,allocation_tv,First–Last,full_sample_and_uid_median,0.061768355181528803,0.073372219305402206,0.072269290067729905,0.074398610915347593,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,15490,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,4
figure_exp2_attribution_sensitivity,source_pair,exp2_real_delayed_conversion_logs,exp2-full-20260807T111616+0800,paper,True,primary,kendall_tau_b,kendall_tau_b,First–Last,full_sample_and_uid_median,0.71742584719786462,0.71627135934125041,0.70976567058628226,0.72292792765420844,empirical 2.5%-97.5% UID-cluster resampling sensitivity range,UID-cluster resampling; not a confidence interval,1000,15490,unitless,metric-dependent,figure_exp2_attribution_sensitivity_source.csv,4
