route_left,route_right,display_label,record_type
arrival_time_accounting_anchor,first_click_or_touch,First-click-or-touch attribution,arrival_route
arrival_time_accounting_anchor,last_click_or_touch,Last-click-or-touch attribution,arrival_route
arrival_time_accounting_anchor,linear_source_cell_credit,Linear source-cell credit,arrival_route
arrival_time_accounting_anchor,time_decay_source_cell_credit,Time-decay source-cell credit,arrival_route
first_click_or_touch,last_click_or_touch,First–Last,source_route_pair
first_click_or_touch,linear_source_cell_credit,First–Linear,source_route_pair
first_click_or_touch,time_decay_source_cell_credit,First–Decay,source_route_pair
last_click_or_touch,linear_source_cell_credit,Last–Linear,source_route_pair
last_click_or_touch,time_decay_source_cell_credit,Last–Decay,source_route_pair
linear_source_cell_credit,time_decay_source_cell_credit,Linear–Decay,source_route_pair
