figure_id,panel_id,experiment_id,run_id,run_tier,paper_result,analysis_tier,metric_id,estimand_id,condition_id,series_id,point_estimate,resampling_median,interval_lower,interval_upper,uncertainty_role,uncertainty_method,repetition_count,sample_count,unit,better_direction,source_table,source_row_key
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,1,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,0
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,2,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,1
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,3,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,2
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,4,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,3
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,5,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,4
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,6,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,5
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,7,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,6
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,8,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,7
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,9,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,8
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,10,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,9
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,1,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,10
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,2,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,11
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,3,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,12
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,4,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,13
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,5,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,14
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,6,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,15
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,7,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,16
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,8,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,17
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,9,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,18
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,calibration_decile,calibration_decile,exp3_decile_calibration,calibration_decile,10,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,19
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.712419108566213,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,0
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.8087157634971351,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,1
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.8771741161082955,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,2
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.9426345397026554,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,3
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.984731584032009,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,4
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.030675876526161,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,5
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.0710765445901562,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,6
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.1312090325973512,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,7
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.1726592613644007,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,8
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.3172925334271723,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,9
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.7785782451865577,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,10
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.829015521882841,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,11
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.8813598951918475,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,12
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.9482689211173314,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,13
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,2.9942573364963989,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,14
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.0326217598593899,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,15
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.0717397131707345,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,16
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.1041432070873163,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,17
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.1488427299462201,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,18
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_predicted_target,mean_predicted_target,exp3_decile_calibration,mean_predicted_target,3.3193981134712054,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,19
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.7940974162354149,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,0
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.8990499524655302,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,1
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.9248678765839431,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,2
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.9628719136562744,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,3
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.0105207009620631,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,4
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.0110115150762304,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,5
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.080554533065702,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,6
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.1059252428669613,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,7
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.1728655320667367,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,8
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.2982421751498885,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,9
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.8339876430035522,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,10
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.8731956674922592,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,11
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.907120104659505,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,12
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.9779249041006373,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,13
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,2.9946979943154708,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,14
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.0498324172573561,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,15
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.0598406636602711,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,16
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.1119704056998421,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,17
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.1341743967566744,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,18
exp3_appendix_calibration_and_selection,a,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,mean_observed_target,mean_observed_target,exp3_decile_calibration,mean_observed_target,3.3168898085705094,,,,frozen appendix diagnostic,source table,,,,,exp3_decile_calibration.csv,19
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,selection_direction_count,selection_direction_count,exp3_appendix_route_selection_concentration_data,selection_direction_count,170,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,0
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,selection_direction_count,selection_direction_count,exp3_appendix_route_selection_concentration_data,selection_direction_count,170,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,1
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,selection_direction_count,selection_direction_count,exp3_appendix_route_selection_concentration_data,selection_direction_count,170,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,2
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,unique_selected_action_count,unique_selected_action_count,exp3_appendix_route_selection_concentration_data,unique_selected_action_count,14,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,0
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,unique_selected_action_count,unique_selected_action_count,exp3_appendix_route_selection_concentration_data,unique_selected_action_count,2,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,1
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,unique_selected_action_count,unique_selected_action_count,exp3_appendix_route_selection_concentration_data,unique_selected_action_count,2,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,2
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,dominant_selected_action_share,dominant_selected_action_share,exp3_appendix_route_selection_concentration_data,dominant_selected_action_share,0.35882352941176471,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,0
exp3_appendix_calibration_and_selection,b,exp3_sequential_recommendation_delayed_feedback,exp3-full-20260807T072340Z,full,True,appendix,dominant_selected_action_share,dominant_selected_action_share,exp3_appendix_route_selection_concentration_data,dominant_selected_action_share,0.61176470588235299,,,,frozen appendix diagnostic,source table,,,,,exp3_appendix_route_selection_concentration_data.csv,1
