alpha,validation_origin,train_start,train_end,validation_date,supported_cell_count,macro_supported_cell_mae,exposure_weighted_supported_cell_mae,evaluation_data_used,macro_supported_cell_mae_mean,macro_supported_cell_mae_std,exposure_weighted_supported_cell_mae_mean,origin_count,selected,tie_break_applied,run_id,run_tier,paper_result,analysis_tier,experiment_id,config_hash,input_manifest_hash,code_version_type,code_version
0.10000000000000001,0,2022-04-08,2022-04-14,2022-04-15,88,0.1130533341486709,0.096822451896786302,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,0,2022-04-08,2022-04-14,2022-04-15,88,0.11305269779694251,0.096822183302601506,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,0,2022-04-08,2022-04-14,2022-04-15,88,0.11305047089239351,0.096821243238261204,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,0,2022-04-08,2022-04-14,2022-04-15,88,0.1130441111078223,0.096818557474401296,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,0,2022-04-08,2022-04-14,2022-04-15,88,0.11302188457583109,0.096809158985693103,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,0,2022-04-08,2022-04-14,2022-04-15,88,0.1129586617798756,0.096782323553623706,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,1,2022-04-08,2022-04-15,2022-04-16,90,0.13572310116994771,0.1272411856162548,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,1,2022-04-08,2022-04-15,2022-04-16,90,0.1357235913729076,0.1272418049142873,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,1,2022-04-08,2022-04-15,2022-04-16,90,0.13572530686834869,0.1272439719553167,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,1,2022-04-08,2022-04-15,2022-04-16,90,0.13573020644024519,0.12725015920028751,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,1,2022-04-08,2022-04-15,2022-04-16,90,0.1357473333759352,0.1272717644892527,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,1,2022-04-08,2022-04-15,2022-04-16,90,0.1357960812353137,0.12733306748368109,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,2,2022-04-08,2022-04-16,2022-04-17,93,0.081158254001402197,0.077657792381051999,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,2,2022-04-08,2022-04-16,2022-04-17,93,0.081156943377163102,0.077656292444772193,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,2,2022-04-08,2022-04-16,2022-04-17,93,0.0811523575247661,0.077651044384302301,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,2,2022-04-08,2022-04-16,2022-04-17,93,0.081139266497620294,0.077636064620736897,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,2,2022-04-08,2022-04-16,2022-04-17,93,0.081093580506804805,0.077583806187905002,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,2,2022-04-08,2022-04-16,2022-04-17,93,0.080964173256158498,0.077435942143303196,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,3,2022-04-08,2022-04-17,2022-04-18,89,0.122029346202818,0.1068367937768992,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,3,2022-04-08,2022-04-17,2022-04-18,89,0.1220288122616987,0.10683618214023061,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,3,2022-04-08,2022-04-17,2022-04-18,89,0.1220269439734146,0.1068340420951914,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,3,2022-04-08,2022-04-17,2022-04-18,89,0.1220216103363605,0.10682793353062731,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,3,2022-04-08,2022-04-17,2022-04-18,89,0.1220029929410974,0.10680662152897159,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,3,2022-04-08,2022-04-17,2022-04-18,89,0.1219502273635744,0.10674630581184739,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,4,2022-04-08,2022-04-18,2022-04-19,89,0.16997623884790719,0.15535776389389541,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,4,2022-04-08,2022-04-18,2022-04-19,89,0.16997626075486519,0.1553577701593796,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,4,2022-04-08,2022-04-18,2022-04-19,89,0.16997633727362679,0.15535779199650249,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,4,2022-04-08,2022-04-18,2022-04-19,89,0.1699765545675839,0.1553578536006105,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,4,2022-04-08,2022-04-18,2022-04-19,89,0.16997729966686159,0.1553580600844551,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,4,2022-04-08,2022-04-18,2022-04-19,89,0.16997929878201409,0.15535857326394381,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,5,2022-04-08,2022-04-19,2022-04-20,90,0.10392764040940509,0.1012265777422752,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,5,2022-04-08,2022-04-19,2022-04-20,90,0.10392777338595829,0.1012268362898787,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,5,2022-04-08,2022-04-19,2022-04-20,90,0.1039282384113689,0.1012277407701704,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,5,2022-04-08,2022-04-19,2022-04-20,90,0.1039295636962479,0.101230321264852,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,5,2022-04-08,2022-04-19,2022-04-20,90,0.1039341632097954,0.10123930962409659,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,5,2022-04-08,2022-04-19,2022-04-20,90,0.10394697574784691,0.10126462393347239,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.10000000000000001,6,2022-04-08,2022-04-20,2022-04-21,51,0.130604562156002,0.1207949069577588,False,0.12235321099087899,0.027802608606689799,0.1122767817521317,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
0.29999999999999999,6,2022-04-08,2022-04-20,2022-04-21,51,0.13060470316490219,0.120795144737358,False,0.12235296887349111,0.027803006610528799,0.1122766019983583,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
1,6,2022-04-08,2022-04-20,2022-04-21,51,0.13060519662311079,0.12079597679269589,False,0.1223521216524328,0.027804399316370701,0.1122759730332058,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
3,6,2022-04-08,2022-04-20,2022-04-21,51,0.13060660587886619,0.1207983526098937,False,0.12234970264639231,0.0278083758414981,0.1122741774716299,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
10,6,2022-04-08,2022-04-20,2022-04-21,51,0.1306115309974735,0.1208066507090331,False,0.1223412550391141,0.027822263026792901,0.11226791022991529,7,False,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
30,6,2022-04-08,2022-04-20,2022-04-21,51,0.1306255407324618,0.1208302128688817,False,0.1223172798424636,0.027861680051727199,0.11225014986553621,7,True,True,exp3-full-20260807T072340Z,full,False,primary,exp3,2eebb3dfafa708ac36ff5b5fb2d215b77f5189e37ae94ea9afe8470831770580,e0c1288a22ea2cf3abde9f2c0887f795fe4c2e7d6f705d077ac9a8a819518e6d,source_tree_sha256,030d6bb049591fda35c4e54df090bbc50eb1e12d8482c28cc71dffec7cef6fa0
