figure_id,panel_id,experiment_id,run_id,run_tier,paper_result,analysis_tier,metric_id,estimand_id,condition_id,series_id,point_estimate,resampling_median,interval_lower,interval_upper,uncertainty_role,uncertainty_method,repetition_count,sample_count,unit,better_direction,source_table,source_row_key
exp4_appendix_audit_support,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_effective_to_labelled_ratio,mean_effective_to_labelled_ratio,fig_app_exp4_effective_support_data,mean_effective_to_labelled_ratio,0.57221583964104394,,,,frozen appendix diagnostic,source table,,,,,fig_app_exp4_effective_support_data.csv,0
exp4_appendix_audit_support,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_effective_to_labelled_ratio,mean_effective_to_labelled_ratio,fig_app_exp4_effective_support_data,mean_effective_to_labelled_ratio,0.64062531636629483,,,,frozen appendix diagnostic,source table,,,,,fig_app_exp4_effective_support_data.csv,1
exp4_appendix_audit_support,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_effective_to_labelled_ratio,mean_effective_to_labelled_ratio,fig_app_exp4_effective_support_data,mean_effective_to_labelled_ratio,0.81507568354160476,,,,frozen appendix diagnostic,source table,,,,,fig_app_exp4_effective_support_data.csv,2
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,20,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,0
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,8.4030225355323669,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,1
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,3.9430648687916801,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,2
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,3
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,4
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,5
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,6
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,7
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,8
exp4_appendix_audit_support,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,mean_weight_p95,mean_weight_p95,exp4_module_b_weight_diagnostics,mean_weight_p95,1,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_weight_diagnostics.csv,9
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0026226111952851999,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,0
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0010617175226875001,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,1
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.00063452781720839998,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,2
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.031934157891765999,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,3
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0166807861359758,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,4
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0087974091734441002,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,5
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,6
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0028287915070699002,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,7
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.0014269630329085999,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,8
exp4_appendix_audit_support,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,appendix,rmse,rmse,exp4_module_b_audit_performance,rmse,0.00093497603244579997,,,,frozen appendix diagnostic,source table,,,,,exp4_module_b_audit_performance.csv,9
