figure_id,panel_id,experiment_id,run_id,run_tier,paper_result,analysis_tier,metric_id,estimand_id,condition_id,series_id,point_estimate,resampling_median,interval_lower,interval_upper,uncertainty_role,uncertainty_method,repetition_count,sample_count,unit,better_direction,source_table,source_row_key
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0,sigma_proxy=0,0.0245396383878606,,0.0242906866677886,0.0247820824631971,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,0
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0,sigma_proxy=0.1,0.024718646802823901,,0.0244787719091848,0.0249657045226941,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,1
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0,sigma_proxy=0.25,0.025747828734164601,,0.0254974091815725,0.0259926170892682,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,2
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0,sigma_proxy=1,0.047365700021271301,,0.0469962942922985,0.0477525219000009,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,3
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.3,sigma_proxy=0,0.018314005542422501,,0.0181076622554179,0.0185026628218912,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,4
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.3,sigma_proxy=0.1,0.0184580729692445,,0.0182577744071231,0.0186542638340971,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,5
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.3,sigma_proxy=0.25,0.019283749682663099,,0.0190875158922339,0.0194935925949153,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,6
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.3,sigma_proxy=1,0.036022611720487603,,0.0356923655044471,0.036345565163546,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,7
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.7,sigma_proxy=0,0.0082024153581308004,,0.0080745404773211,0.0083268762794823,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,8
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.7,sigma_proxy=0.1,0.0082788176356608009,,0.0081541057468703,0.0084024244290555,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,9
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.7,sigma_proxy=0.25,0.0086951808340326002,,0.0085678337358891,0.0088271141568733,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,10
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.7,sigma_proxy=1,0.016629567823260999,,0.016408986192165,0.0168515985209684,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,11
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=0,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,12
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=0.1,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,13
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=0.25,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,14
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=1,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,15
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0,sigma_proxy=0.25,0.0281809407814924,,0.027908575780559,0.0284530793774254,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,16
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.3,sigma_proxy=0.25,0.0211040902856784,,0.0208824404152419,0.0213276986048103,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,17
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=0.7,sigma_proxy=0.25,0.0095247990257721002,,0.0093775326700673,0.0096611071374692,paired-seed interval from frozen summary,frozen paired-seed summary,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,18
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=0.25,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,19
fig_exp4_route_alignment_and_audit_reliability,a,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,mean_pairwise_gap_discrepancy_mean,D_pair,q_route=1,sigma_proxy=0.25,0,,,,deterministic controlled endpoint,none,,100,gap discrepancy,lower,exp4_module_a_population_summary.csv,20
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.1,ambiguity_selective_ipw,0.00017748596820770001,,1.522635690696906e-05,0.00033974557950843096,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,0
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.1,ambiguity_selective_ipw,0.0026226111952851999,,0.002479907750820014,0.0027653146397503855,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,0
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.3,ambiguity_selective_ipw,7.2461859876110808e-05,,6.776516603740869e-06,0.00013814720314848076,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,1
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.3,ambiguity_selective_ipw,0.0010617175226875001,,0.0010092658821390353,0.0011141691632359648,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,1
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.5,ambiguity_selective_ipw,2.4227530612002616e-05,,-1.509189737234788e-05,6.354695859635311e-05,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,2
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.5,ambiguity_selective_ipw,0.00063452781720839998,,0.0006048373505632624,0.0006642182838535375,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,2
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.1,ambiguity_selective_unweighted,0.031626655334058902,,0.031352502704361185,0.03190080796375662,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,3
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.1,ambiguity_selective_unweighted,0.031934157891765999,,0.03165899260714117,0.03220932317639083,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,3
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.3,ambiguity_selective_unweighted,0.016556361463354399,,0.016430254678456158,0.01668246824825264,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,4
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.3,ambiguity_selective_unweighted,0.0166807861359758,,0.016553357339946624,0.016808214932004975,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,4
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.5,ambiguity_selective_unweighted,0.0087262045082684998,,0.008656935433509979,0.00879547358302702,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,5
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.5,ambiguity_selective_unweighted,0.0087974091734441002,,0.008727882715447915,0.008866935631440285,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,5
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=1,full_population,0,,,,deterministic full-population endpoint,none,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,6
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=1,full_population,0,,,,deterministic full-population endpoint,none,1000,,audit error,lower,exp4_module_b_audit_performance.csv,6
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.1,mcar_unweighted,-8.7980354178900524e-06,,-0.00018421523203730481,0.00016661916120152472,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,7
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.1,mcar_unweighted,0.0028287915070699002,,0.002706265876630891,0.0029513171375089094,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,7
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.3,mcar_unweighted,-1.9797548241555239e-05,,-0.00010827737180857989,6.868227532546942e-05,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,8
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.3,mcar_unweighted,0.0014269630329085999,,0.0013656048595404521,0.0014883212062767478,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,8
fig_exp4_route_alignment_and_audit_reliability,b,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,bias,bias,rho_audit=0.5,mcar_unweighted,2.6361705326550889e-05,,-3.159465622690599e-05,8.431806688000777e-05,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,toward zero,exp4_module_b_audit_performance.csv,9
fig_exp4_route_alignment_and_audit_reliability,c,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,rmse,rmse,rho_audit=0.5,mcar_unweighted,0.00093497603244579997,,0.0008949098850821478,0.0009750421798094521,estimate +/- 1.96 Monte Carlo standard error,1.96 x MCSE,1000,,audit error,lower,exp4_module_b_audit_performance.csv,9
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,raw_pairwise_discrepancy,calibration_control_discrepancy,affine_linked,raw_pairwise_discrepancy,0.24076498393744061,,,,controlled calibration summary,none,1000,,pairwise discrepancy,lower,exp4_module_c_control_summary.csv,0
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,oof_calibrated_pairwise_discrepancy,calibration_control_discrepancy,affine_linked,oof_calibrated_pairwise_discrepancy,0.045826642502820002,,,,controlled calibration summary,none,1000,,pairwise discrepancy,lower,exp4_module_c_control_summary.csv,0
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,recoverability,recoverability,affine_linked,annotation,0.8094463061623256,,,,annotation,none,,,,,exp4_module_c_control_summary.csv,0
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,raw_pairwise_discrepancy,calibration_control_discrepancy,blocked_correspondence_destroyed,raw_pairwise_discrepancy,0.39609431680825757,,,,controlled calibration summary,none,1000,,pairwise discrepancy,lower,exp4_module_c_control_summary.csv,1
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,oof_calibrated_pairwise_discrepancy,calibration_control_discrepancy,blocked_correspondence_destroyed,oof_calibrated_pairwise_discrepancy,0.29307320334805859,,,,controlled calibration summary,none,1000,,pairwise discrepancy,lower,exp4_module_c_control_summary.csv,1
fig_exp4_route_alignment_and_audit_reliability,d,exp4_controlled_route_audit,full_20260817T071019Z_7d7146b7,full,True,primary,recoverability,recoverability,blocked_correspondence_destroyed,annotation,0.25982973532650788,,,,annotation,none,,,,,exp4_module_c_control_summary.csv,1
