contrast_family,contrast_id,fixed_parameter,level_from,level_to,paired_mean_difference,paired_sd,paired_mcse,ci_lower,ci_upper,direction_agreement_rate,exact_zero_rate,non_finite_count,shared_seed_count,expected_direction,is_primary_contrast,primary_contrast_half_width,primary_contrast_relative_half_width,monte_carlo_precision_gate,run_id,run_tier,paper_result,experiment_id,module_id,analysis_tier,code_commit,config_hash,source_code_hash,calibration_hash,result_schema,seed_or_replication
route_label_rate,q_0_to_0.3__sigma_0,sigma_proxy=0,0,0.29999999999999999,-0.020873589384473399,0.0016006330084519999,0.00016006330084519999,-0.021188804619011702,-0.020556001762043599,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0,sigma_proxy=0,0.29999999999999999,0.69999999999999996,-0.033897027198406697,0.0020594115521053,0.00020594115521050001,-0.034308145980098598,-0.0334831213170892,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.7_to_1__sigma_0,sigma_proxy=0,0.69999999999999996,1,-0.027617311902740901,0.0020719082865985,0.00020719082865980001,-0.028011107097449799,-0.027218606260600402,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0_to_0.3__sigma_0.1,sigma_proxy=0.1,0,0.29999999999999999,-0.020966701879389999,0.0016219661373023,0.00016219661373019999,-0.0212782373021554,-0.020657623860605701,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.1,sigma_proxy=0.1,0.29999999999999999,0.69999999999999996,-0.034097996862482501,0.0020767083554245999,0.00020767083554239999,-0.034508931776494903,-0.0337047656571305,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.7_to_1__sigma_0.1,sigma_proxy=0.1,0.69999999999999996,1,-0.027853666712111199,0.0020637275187171001,0.00020637275187170001,-0.028261834024873599,-0.0274510945897318,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0_to_0.3__sigma_0.25,sigma_proxy=0.25,0,0.29999999999999999,-0.0215244383580564,0.0016811580499855999,0.0001681158049985,-0.021859298495769799,-0.021211157155999201,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.3_to_0.7__sigma_0.25,sigma_proxy=0.25,0.29999999999999999,0.69999999999999996,-0.035312723832980897,0.0021724550987505999,0.00021724550987499999,-0.0357307955441582,-0.034890892356273899,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.7_to_1__sigma_0.25,sigma_proxy=0.25,0.69999999999999996,1,-0.0291393742682267,0.0021210128174027,0.00021210128174020001,-0.029565576634620401,-0.0287278940306912,1,0,0,100,decrease,True,0.00041884130196449999,0.0143737232690428,PASS,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0_to_0.3__sigma_1,sigma_proxy=1,0,0.29999999999999999,-0.035806271248401002,0.0027806270149724,0.00027806270149719999,-0.036347394508032801,-0.035269379568682702,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
route_label_rate,q_0.3_to_0.7__sigma_1,sigma_proxy=1,0.29999999999999999,0.69999999999999996,-0.061492448988149297,0.0040241640367041998,0.00040241640367040001,-0.062295577142855003,-0.060736792862957897,1,0,0,100,decrease,False,,,REPORTED_NOT_GATED,full_20260817T071019Z_7d7146b7,full,False,exp4_controlled_route_audit,module_a_route_alignment,primary,23199c4827c06f76d1d9a7a4fc39e56e21eb26b8,969661f6374bc82caef3a93573f0cca950b808a0fda426e1d0b4236cd98b5377,09ee24069d13022c183bf11e1a77a50f199e568d0470a58060967b45016a0964,8176e473628088778162119d7b32a639e778f5e5b2b4885a2d7310c2dc103a97,exp4_controlled_route_audit_v3,aggregate
