run_id,created_time,experiment_id,mode,config_hash,seed,delay_setting,method,T,K,D_max,delay_meta_type,delay_meta_p,delay_meta_w,delay_meta_p_fast,delay_meta_p_slow,delay_meta_switch_t
toy_fast_13b5551d55_0_delay_oracle_s000,2026-06-24T05:30:07.985210Z,toy,fast,13b5551d55,0,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_naive_s000,2026-06-24T05:30:08.089164Z,toy,fast,13b5551d55,0,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_causal_labelled_s000,2026-06-24T05:30:08.190864Z,toy,fast,13b5551d55,0,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_oracle_s000,2026-06-24T05:30:08.289558Z,toy,fast,13b5551d55,0,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_naive_s000,2026-06-24T05:30:08.389215Z,toy,fast,13b5551d55,0,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_causal_labelled_s000,2026-06-24T05:30:08.490006Z,toy,fast,13b5551d55,0,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_piece_0.6to0.15_oracle_s000,2026-06-24T05:30:08.590304Z,toy,fast,13b5551d55,0,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_naive_s000,2026-06-24T05:30:08.692138Z,toy,fast,13b5551d55,0,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_causal_labelled_s000,2026-06-24T05:30:08.808569Z,toy,fast,13b5551d55,0,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_oracle_s000,2026-06-24T05:30:08.933536Z,toy,fast,13b5551d55,0,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_naive_s000,2026-06-24T05:30:09.040232Z,toy,fast,13b5551d55,0,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_causal_labelled_s000,2026-06-24T05:30:09.156643Z,toy,fast,13b5551d55,0,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_0_delay_oracle_s001,2026-06-24T05:30:09.269664Z,toy,fast,13b5551d55,1,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_naive_s001,2026-06-24T05:30:09.373048Z,toy,fast,13b5551d55,1,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_causal_labelled_s001,2026-06-24T05:30:09.477892Z,toy,fast,13b5551d55,1,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_oracle_s001,2026-06-24T05:30:09.581956Z,toy,fast,13b5551d55,1,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_naive_s001,2026-06-24T05:30:09.687106Z,toy,fast,13b5551d55,1,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_causal_labelled_s001,2026-06-24T05:30:09.809625Z,toy,fast,13b5551d55,1,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_piece_0.6to0.15_oracle_s001,2026-06-24T05:30:09.939216Z,toy,fast,13b5551d55,1,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_naive_s001,2026-06-24T05:30:10.071488Z,toy,fast,13b5551d55,1,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_causal_labelled_s001,2026-06-24T05:30:10.180159Z,toy,fast,13b5551d55,1,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_oracle_s001,2026-06-24T05:30:10.289840Z,toy,fast,13b5551d55,1,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_naive_s001,2026-06-24T05:30:10.388685Z,toy,fast,13b5551d55,1,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_causal_labelled_s001,2026-06-24T05:30:10.487087Z,toy,fast,13b5551d55,1,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_0_delay_oracle_s002,2026-06-24T05:30:10.585319Z,toy,fast,13b5551d55,2,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_naive_s002,2026-06-24T05:30:10.690575Z,toy,fast,13b5551d55,2,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_0_delay_causal_labelled_s002,2026-06-24T05:30:10.796077Z,toy,fast,13b5551d55,2,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_oracle_s002,2026-06-24T05:30:10.922298Z,toy,fast,13b5551d55,2,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_naive_s002,2026-06-24T05:30:11.033357Z,toy,fast,13b5551d55,2,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_geom_0.15_causal_labelled_s002,2026-06-24T05:30:11.139657Z,toy,fast,13b5551d55,2,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_fast_13b5551d55_piece_0.6to0.15_oracle_s002,2026-06-24T05:30:11.248036Z,toy,fast,13b5551d55,2,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_naive_s002,2026-06-24T05:30:11.361459Z,toy,fast,13b5551d55,2,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_piece_0.6to0.15_causal_labelled_s002,2026-06-24T05:30:11.477284Z,toy,fast,13b5551d55,2,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_oracle_s002,2026-06-24T05:30:11.584507Z,toy,fast,13b5551d55,2,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_naive_s002,2026-06-24T05:30:11.688125Z,toy,fast,13b5551d55,2,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_fast_13b5551d55_mixed_geom_0.6+0.1_w0.2_causal_labelled_s002,2026-06-24T05:30:11.796233Z,toy,fast,13b5551d55,2,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
