run_id,created_time,experiment_id,mode,config_hash,seed,delay_setting,method,T,K,D_max,delay_meta_type,delay_meta_p,delay_meta_w,delay_meta_p_fast,delay_meta_p_slow,delay_meta_switch_t
toy_full_548dad5802_0_delay_oracle_s000,2026-06-20T06:13:04.475717Z,toy,full,548dad5802,0,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s000,2026-06-20T06:13:04.517975Z,toy,full,548dad5802,0,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s000,2026-06-20T06:13:04.538276Z,toy,full,548dad5802,0,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s000,2026-06-20T06:13:04.555972Z,toy,full,548dad5802,0,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s000,2026-06-20T06:13:04.575742Z,toy,full,548dad5802,0,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s000,2026-06-20T06:13:04.595539Z,toy,full,548dad5802,0,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s000,2026-06-20T06:13:04.614040Z,toy,full,548dad5802,0,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s000,2026-06-20T06:13:04.634397Z,toy,full,548dad5802,0,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s000,2026-06-20T06:13:04.654593Z,toy,full,548dad5802,0,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s000,2026-06-20T06:13:04.672583Z,toy,full,548dad5802,0,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s000,2026-06-20T06:13:04.692198Z,toy,full,548dad5802,0,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s000,2026-06-20T06:13:04.712531Z,toy,full,548dad5802,0,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s001,2026-06-20T06:13:04.757957Z,toy,full,548dad5802,1,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s001,2026-06-20T06:13:04.778407Z,toy,full,548dad5802,1,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s001,2026-06-20T06:13:04.799028Z,toy,full,548dad5802,1,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s001,2026-06-20T06:13:04.816972Z,toy,full,548dad5802,1,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s001,2026-06-20T06:13:04.837047Z,toy,full,548dad5802,1,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s001,2026-06-20T06:13:04.857343Z,toy,full,548dad5802,1,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s001,2026-06-20T06:13:04.876103Z,toy,full,548dad5802,1,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s001,2026-06-20T06:13:04.897052Z,toy,full,548dad5802,1,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s001,2026-06-20T06:13:04.917933Z,toy,full,548dad5802,1,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s001,2026-06-20T06:13:04.936520Z,toy,full,548dad5802,1,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s001,2026-06-20T06:13:04.956714Z,toy,full,548dad5802,1,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s001,2026-06-20T06:13:04.977140Z,toy,full,548dad5802,1,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s002,2026-06-20T06:13:04.995914Z,toy,full,548dad5802,2,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s002,2026-06-20T06:13:05.016778Z,toy,full,548dad5802,2,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s002,2026-06-20T06:13:05.037988Z,toy,full,548dad5802,2,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s002,2026-06-20T06:13:05.056377Z,toy,full,548dad5802,2,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s002,2026-06-20T06:13:05.076989Z,toy,full,548dad5802,2,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s002,2026-06-20T06:13:05.097781Z,toy,full,548dad5802,2,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s002,2026-06-20T06:13:05.117018Z,toy,full,548dad5802,2,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s002,2026-06-20T06:13:05.138200Z,toy,full,548dad5802,2,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
