seed,delay_state_coupling_beta,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,target_mean_delay,exact_match
0,0.0,2.0,2,0.0004,0.1836475487139847,0.0630252100840336,2,True
0,0.25,2.0,4,0.0008,0.2098375728416838,0.0836669335468374,2,True
0,0.5,2.0,4,0.0008,0.2384050877162604,0.1076861489191353,2,True
0,1.0,2.0,4,0.0008,0.2916734801358092,0.1501200960768615,2,True
0,1.5,2.0,7,0.0014,0.3063625052584935,0.1634288003204486,2,True
0,2.0,2.0,6,0.0012,0.3099647131019238,0.1643972767320785,2,True
0,3.0,2.0,6,0.0012,0.3087553829117957,0.1635963155786944,2,True
1,0.0,2.0,2,0.0004,0.1821514652350679,0.0670268107242897,2,True
1,0.25,2.0,2,0.0004,0.2056862785783244,0.0858343337334934,2,True
1,0.5,2.0,3,0.0006,0.2318849232421942,0.1070642385431258,2,True
1,1.0,2.0,5,0.001,0.2843728982504286,0.1493493493493493,2,True
1,1.5,2.0,6,0.0012,0.3054230336543951,0.1659991990388466,2,True
1,2.0,2.0,6,0.0012,0.3045664778659978,0.1645975170204245,2,True
1,3.0,2.0,6,0.0012,0.3040529934949921,0.1649979975971165,2,True
2,0.0,2.0,3,0.0006,0.1789501505408943,0.0626375825495297,2,True
2,0.25,2.0,3,0.0006,0.2056124959509901,0.0840504302581549,2,True
2,0.5,2.0,3,0.0006,0.2328692705320328,0.1044626776065639,2,True
2,1.0,2.0,3,0.0006,0.2923072489274232,0.1510906543926355,2,True
2,1.5,2.0,6,0.0012,0.3143533572710214,0.1676011213456147,2,True
2,2.0,2.0,6,0.0012,0.3171724341059641,0.1696035242290749,2,True
2,3.0,2.0,6,0.0012,0.3174646624172756,0.1696035242290749,2,True
3,0.0,2.0,2,0.0004,0.185936546530546,0.0662264905962385,2,True
3,0.25,2.0,2,0.0004,0.2107034313065909,0.0856342537014805,2,True
3,0.5,2.0,3,0.0006,0.2390444844657628,0.1082649589753852,2,True
3,1.0,2.0,6,0.0012,0.296882567172854,0.1527833400080096,2,True
3,1.5,2.0,6,0.0012,0.3155406835812354,0.1680016019223067,2,True
3,2.0,2.0,6,0.0012,0.314402162948208,0.1676011213456147,2,True
3,3.0,2.0,6,0.0012,0.315933736641949,0.1688025630756908,2,True
4,0.0,2.0,2,0.0004,0.18307055970672,0.0666266506602641,2,True
4,0.25,2.0,2,0.0004,0.2083238466519074,0.0868347338935574,2,True
4,0.5,2.0,3,0.0006,0.234519507457351,0.1090654392635581,2,True
4,1.0,2.0,4,0.0008,0.292445437405779,0.1535228182546036,2,True
4,1.5,2.0,6,0.0012,0.3099333816029316,0.1684020824989988,2,True
4,2.0,2.0,6,0.0012,0.310411179166122,0.1688025630756908,2,True
4,3.0,2.0,6,0.0012,0.3099082164758154,0.1678013616339607,2,True
5,0.0,2.0,2,0.0004,0.179972079470584,0.0642256902761104,2,True
5,0.25,2.0,3,0.0006,0.2064493473452029,0.0858515109065439,2,True
5,0.5,2.0,4,0.0008,0.232599440696777,0.1048839071257005,2,True
5,1.0,2.0,4,0.0008,0.2890656404326613,0.149519615692554,2,True
5,1.5,2.0,5,0.001,0.3100252160185777,0.1661661661661661,2,True
5,2.0,2.0,4,0.0008,0.3098821795191417,0.166533226581265,2,True
5,3.0,2.0,4,0.0008,0.3107397356356678,0.1673338670936749,2,True
6,0.0,2.0,2,0.0004,0.1729277090990692,0.063625450180072,2,True
6,0.25,2.0,3,0.0006,0.2007373429160263,0.085051030618371,2,True
6,0.5,2.0,3,0.0006,0.2276749928399047,0.1076645987592555,2,True
6,1.0,2.0,5,0.001,0.2788791314104669,0.1513513513513513,2,True
6,1.5,2.0,6,0.0012,0.2940349900927044,0.1647977573087705,2,True
6,2.0,2.0,6,0.0012,0.2915753134109323,0.1653984781738085,2,True
6,3.0,2.0,5,0.001,0.2928502055853653,0.1655655655655655,2,True
7,0.0,2.0,2,0.0004,0.1723306936578834,0.0630252100840336,2,True
7,0.25,2.0,3,0.0006,0.1976929499827615,0.0828497098258955,2,True
7,0.5,2.0,3,0.0006,0.2308547015281555,0.1072643586151691,2,True
7,1.0,2.0,5,0.001,0.2872238445534873,0.1529529529529529,2,True
